run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,do_ofat,do_heatmaps,do_sensitivities,ofat_n,heatmap_nx,heatmap_ny,scan_mode,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,residual,converged,method,iterations,a1,b1,a2,b2,phi2_1_meanV,phi2_2_meanV
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,8.158662443397333e-09,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0014085809948344446,11.738174956953705,0.00044252919587715466,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4674955334331936,0.27416906774542144,-3.3306690738754696e-16,True,closed_form(D5-6/D5-8),0,0.2829641044738973,-0.10229600621388961,0.08876422003885605,-0.03204859978101308,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,1.1336424705211914e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.00195721694578209,16.310141214850752,0.0006148923237998733,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4611040693037235,0.20021168943227177,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8),0,0.3726248183352236,-0.1346905882573088,0.12602334119578487,-0.045501785714385526,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,1.5751911050192293e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.00271954412767497,22.66286773062475,0.0008543901134445531,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.45470494826752567,0.14340134927100984,-1.0547118733938987e-15,True,closed_form(D5-6/D5-8),0,0.4639932135494305,-0.16769851120466747,0.1768657855579444,-0.06386032206687785,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,2.1887209432008604e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0037787943121532917,31.48995260127743,0.0011871712130681591,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44859011324636433,0.1002170221716831,1.249000902703301e-16,True,closed_form(D5-6/D5-8),0,0.549200241869629,-0.19847773451627804,0.24395745550818854,-0.088087184949535,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.0412178890177224e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0052506176708998435,43.75514725749869,0.0016495690516077008,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4429233432944989,0.06856994377228744,-1.8041124150158794e-16,True,closed_form(D5-6/D5-8),0,0.6248610819651624,-0.22580644470722985,0.3267161174840793,-0.11797227973451503,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,4.225758554197105e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.007295709596391302,60.79757996992751,0.002292068764866267,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.437834249288702,0.04638902249051434,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8),0,0.6912945079270246,-0.24980064770099322,0.42021056243519994,-0.15173484004992904,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,5.8716724713656274e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.010137355612440585,84.47796343700487,0.003184819221575084,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.43343431816146777,0.0313568852270421,-1.8041124150158794e-16,True,closed_form(D5-6/D5-8),0,0.749711943770456,-0.27089864689673576,0.5168494056490526,-0.18663332243647185,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,8.158662443397332e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.014085809948344444,117.38174956953704,0.004425291958771546,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.42977759925486264,0.02132762486418375,-1.1796119636642288e-16,True,closed_form(D5-6/D5-8),0,0.800667571933727,-0.2893011636857859,0.6091997762127647,-0.21998338587881736,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,1.1336424705211915e-07,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.019572169457820903,163.10141214850753,0.006148923237998734,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4268435607875265,0.014641272782567567,-5.724587470723463e-17,True,closed_form(D5-6/D5-8),0,0.8441707010587508,-0.30501192361425256,0.6919057332750015,-0.2498507407689583,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,1.5751911050192292e-07,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0271954412767497,226.6286773062475,0.00854390113444553,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4245552300690273,0.010148326429434803,-4.85722573273506e-17,True,closed_form(D5-6/D5-8),0,0.8802694207993789,-0.31804849900920057,0.7622160607340579,-0.2752417692509294,,
