L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
6.0,0.5,Au,0.57,-204.23246473052563,-7.443837622186003
6.0,0.5,Au,0.575,-204.17099401284517,-7.446911158070027
6.0,0.5,Au,0.58,-204.1091465101545,-7.45000353320456
6.0,0.5,Au,0.585,-204.04632973301756,-7.4531443720614075
6.0,0.5,Au,0.59,-203.98331462191084,-7.456295127616744
6.0,0.5,Au,0.595,-203.91915318159633,-7.4595031996324686
6.0,0.5,Au,0.6,-203.85494580383508,-7.462713568520531
6.0,0.5,Au,0.605,-203.78944611910273,-7.465988552757148
6.0,0.5,Au,0.61,-203.72401675417035,-7.469260021003768
6.0,0.5,Au,0.615,-203.6571892395299,-7.47260139673579
6.0,0.5,Au,0.62,-203.5905042669917,-7.4759356453627
6.0,0.5,Au,0.625,-203.52236203245658,-7.479342757089456
6.0,0.5,Au,0.63,-203.4543853299059,-7.482741592216991
6.0,0.5,Au,0.635,-203.38494268622745,-7.486213724400913
6.0,0.5,Au,0.64,-203.3156371768247,-7.48967899987105
6.0,0.5,Au,0.645,-203.2449080378481,-7.493215456819881
6.0,0.5,Au,0.65,-203.17423729154035,-7.496748994135268
6.0,0.5,Au,0.655,-203.1022335723706,-7.500349180093754
6.0,0.5,Au,0.66,-203.03016336084033,-7.503952690670268
6.0,0.5,Au,0.665,-202.95689347144568,-7.507616185140001
6.0,0.5,Au,0.67,-202.8833931789931,-7.51129119976263
6.0,0.5,Au,0.675,-202.8088607076606,-7.515017823329255
6.0,0.5,Au,0.68,-202.73390450846583,-7.518765633288995
6.0,0.5,Au,0.685,-202.6581071783581,-7.52255549979438
6.0,0.5,Au,0.69,-202.58167490444322,-7.526377113490124
6.0,0.5,Au,0.695,-202.50460387013015,-7.530230665205777
6.0,0.5,Au,0.7,-202.42668151302001,-7.534126783061285
6.0,0.5,Au,0.705,-202.3483210431619,-7.538044806554191
6.0,0.5,Au,0.71,-202.26890085460255,-7.5420158159821575
6.0,0.5,Au,0.715,-202.18922842327004,-7.545999437548784
6.0,0.5,Au,0.72,-202.10830860505195,-7.550045428459688
6.0,0.5,Au,0.725,-202.02729538886896,-7.554096089268837
6.0,0.5,Au,0.73,-201.9448793872996,-7.558216889347305
6.0,0.5,Au,0.735,-201.8624911402886,-7.562336301697855
6.0,0.5,Au,0.74,-201.77858658558873,-7.566531529432849
6.0,0.5,Au,0.745,-201.6947848398257,-7.570721616721
6.0,0.5,Au,0.75,-201.6094021931667,-7.57499074905395
6.0,0.5,Au,0.755,-201.52414571260488,-7.579253573082041
6.0,0.5,Au,0.76,-201.43729670221748,-7.5835960236014115
6.0,0.5,Au,0.765,-201.3505431006423,-7.587933703680169
6.0,0.5,Au,0.77,-201.2622390422461,-7.59234890659998
6.0,0.5,Au,0.775,-201.17394646530963,-7.596763535446804
6.0,0.5,Au,0.78,-201.08419657014392,-7.601251030205089
6.0,0.5,Au,0.785,-200.99432533652822,-7.605744591885874
6.0,0.5,Au,0.79,-200.90313511192608,-7.610304103115981
6.0,0.5,Au,0.795,-200.81164921026965,-7.614878398198803
6.0,0.5,Au,0.8,-200.71901905290662,-7.619509906066954
6.0,0.5,Au,0.805,-200.62588739913704,-7.624166488755433
6.0,0.5,Au,0.81,-200.53181146997923,-7.628870285213324
6.0,0.5,Au,0.815,-200.4370088437038,-7.6336104165270955
6.0,0.5,Au,0.82,-200.34147429697433,-7.638387143863569
6.0,0.5,Au,0.825,-200.24498189475773,-7.643211763974398
6.0,0.5,Au,0.83,-200.14796851187435,-7.648062433118567
6.0,0.5,Au,0.835,-200.0497740784578,-7.652972154789395
6.0,0.5,Au,0.84,-199.95125433315724,-7.657898142054423
6.0,0.5,Au,0.845,-199.85135185753305,-7.662893265835632
6.0,0.5,Au,0.85,-199.75129141180585,-7.667896288121992
6.0,0.5,Au,0.855,-199.64968040198633,-7.672976838612969
6.0,0.5,Au,0.86,-199.54803900561362,-7.678058908431605
6.0,0.5,Au,0.865,-199.44472338225188,-7.683224689599691
6.0,0.5,Au,0.87,-199.34145612331457,-7.688388052546556
6.0,0.5,Au,0.875,-199.23644279644478,-7.693638718890046
6.0,0.5,Au,0.88,-199.1315016277718,-7.698885777323696
6.0,0.5,Au,0.885,-199.02479884128837,-7.704220916647866
6.0,0.5,Au,0.89,-198.9181342898276,-7.709554144220905
6.0,0.5,Au,0.895,-198.80974983363635,-7.714973367030469
6.0,0.5,Au,0.9,-198.70131278732626,-7.720395219345972
6.0,0.5,Au,0.905,-198.59125218639005,-7.725898249392784
6.0,0.5,Au,0.91,-198.48099564710216,-7.731411076357177
6.0,0.5,Au,0.915,-198.3692604392014,-7.736997836752215
6.0,0.5,Au,0.92,-198.25714113118215,-7.742603802153178
6.0,0.5,Au,0.925,-198.14372734091742,-7.748274491666414
6.0,0.5,Au,0.93,-198.02970707184204,-7.7539755051201835
6.0,0.5,Au,0.935,-197.91460397738587,-7.759730659842992
6.0,0.5,Au,0.94,-197.79865066331865,-7.765528325546353
6.0,0.5,Au,0.945,-197.68183993531048,-7.771368861946762
6.0,0.5,Au,0.95,-197.56392822067426,-7.777264447678572
6.0,0.5,Au,0.955,-197.44538349041588,-7.783191684191491
6.0,0.5,Au,0.96,-197.32549491839376,-7.7891861127925965
6.0,0.5,Au,0.965,-197.20518180646178,-7.795201768389195
6.0,0.5,Au,0.97,-197.08330452261237,-7.801295632581668
6.0,0.5,Au,0.975,-196.96118113073982,-7.807401802175294
6.0,0.5,Au,0.98,-196.83730913134463,-7.813595402145054
6.0,0.5,Au,0.985,-196.71332697163902,-7.819794510130334
6.0,0.5,Au,0.99,-196.58745893668683,-7.826087911877943
6.0,0.5,Au,0.995,-196.46156424470897,-7.8323826464768365
6.0,0.5,Au,1.0,-196.33370202166654,-7.838775757628959
6.0,0.5,Au,1.005,-196.20583737534386,-7.845168989945092
6.0,0.5,Au,1.01,-196.0759842023432,-7.851661648595126
6.0,0.5,Au,1.015,-195.94609034863308,-7.8581563412806315
6.0,0.5,Au,1.02,-195.81424892298384,-7.8647484125630935
6.0,0.5,Au,1.025,-195.68226669997995,-7.871347523713287
6.0,0.5,Au,1.03,-195.5484372088591,-7.87803899826933
6.0,0.5,Au,1.035,-195.4143094435501,-7.884745386534779
6.0,0.5,Au,1.04,-195.2784876775742,-7.8915364748335755
6.0,0.5,Au,1.045,-195.14216093930264,-7.898352811747153
6.0,0.5,Au,1.05,-195.0043366061404,-7.9052440284052645
6.0,0.5,Au,1.055,-194.86576270304406,-7.912172723560082
6.0,0.5,Au,1.06,-194.72591804736183,-7.9191649563441935
6.0,0.5,Au,1.065,-194.5850551673893,-7.92620810034282
6.0,0.5,Au,1.07,-194.44316398587134,-7.933302659418719
6.0,0.5,Au,1.075,-194.29997740453135,-7.940461988485718
6.0,0.5,Au,1.08,-194.15600452140086,-7.9476606326422425
6.0,0.5,Au,1.085,-194.01046682407434,-7.954937517508569
6.0,0.5,Au,1.09,-193.86436806488686,-7.962242455467942
6.0,0.5,Au,1.095,-193.7164588607761,-7.969637915673481
6.0,0.5,Au,1.1,-193.5681815318546,-7.977051782119555
6.0,0.5,Au,1.105,-193.4178866677075,-7.98456652532691
6.0,0.5,Au,1.11,-193.26737051728458,-7.992092332848057
6.0,0.5,Au,1.115,-193.1146808300783,-7.99972681720837
6.0,0.5,Au,1.12,-192.9618594369372,-8.007367886865426
6.0,0.5,Au,1.125,-192.8067691137342,-8.015122403025575
6.0,0.5,Au,1.13,-192.65157162172963,-8.022882277625804
6.0,0.5,Au,1.135,-192.49407626023367,-8.030757045700602
6.0,0.5,Au,1.14,-192.33642935429248,-8.03863939099766
6.0,0.5,Au,1.145,-192.1765238375072,-8.046634666836926
6.0,0.5,Au,1.15,-192.01635383999803,-8.054643166712383
6.0,0.5,Au,1.155,-191.8540301516288,-8.062759351130845
6.0,0.5,Au,1.16,-191.69126510846337,-8.070897603289117
6.0,0.5,Au,1.165,-191.52651022130766,-8.079135347646902
6.0,0.5,Au,1.17,-191.36108184551236,-8.087406766436667
6.0,0.5,Au,1.175,-191.19387581265408,-8.09576706807958
6.0,0.5,Au,1.18,-191.02572115962383,-8.104174800731094
6.0,0.5,Au,1.185,-190.8560355277681,-8.11265908232388
6.0,0.5,Au,1.19,-190.6850982907175,-8.12120594417641
6.0,0.5,Au,1.195,-190.51289493701609,-8.12981611186148
6.0,0.5,Au,1.2,-190.33912627253858,-8.138504545085357
6.0,0.5,Au,1.205,-190.16435674172413,-8.147243021626078
6.0,0.5,Au,1.21,-189.98771556265802,-8.156075080579384
6.0,0.5,Au,1.215,-189.81032095162442,-8.164944811131065
6.0,0.5,Au,1.22,-189.63077365601063,-8.173922175911754
6.0,0.5,Au,1.225,-189.45068505988573,-8.182926605717999
6.0,0.5,Au,1.23,-189.26820469885666,-8.192050623769452
6.0,0.5,Au,1.235,-189.08534419807685,-8.201193648808443
6.0,0.5,Au,1.24,-188.89990911998572,-8.210465402713
6.0,0.5,Au,1.245,-188.7141912539563,-8.21975129601447
6.0,0.5,Au,1.25,-188.52578329482736,-8.229171693970917
6.0,0.5,Au,1.255,-188.33711693656647,-8.238605011883962
6.0,0.5,Au,1.26,-188.14571925603,-8.248174895910786
6.0,0.5,Au,1.265,-187.95400977563827,-8.257760369930372
6.0,0.5,Au,1.27,-187.75960446103232,-8.26748063566067
6.0,0.5,Au,1.275,-187.56475604565503,-8.277223056429534
6.0,0.5,Au,1.28,-187.36732162340644,-8.287094777541963
6.0,0.5,Au,1.285,-187.1692396088691,-8.29699887826883
6.0,0.5,Au,1.29,-186.96874861050267,-8.307023428187152
6.0,0.5,Au,1.295,-186.76734167591297,-8.317093774916637
6.0,0.5,Au,1.3,-186.56375840539792,-8.32727293844239
6.0,0.5,Au,1.305,-186.35894048710875,-8.337513834356848
6.0,0.5,Au,1.31,-186.1522191266208,-8.347849902381245
6.0,0.5,Au,1.315,-185.94391092190145,-8.358265312617212
6.0,0.5,Au,1.32,-185.73399409488036,-8.368761153968267
6.0,0.5,Au,1.325,-185.52212404775386,-8.379354656324592
6.0,0.5,Au,1.33,-185.3089419322858,-8.390013762097997
6.0,0.5,Au,1.335,-185.09344662309323,-8.400788527557623
6.0,0.5,Au,1.34,-184.87691667658714,-8.411615024882927
6.0,0.5,Au,1.345,-184.65774057128047,-8.422573830148261
6.0,0.5,Au,1.35,-184.4377678909345,-8.433572464165561
6.0,0.5,Au,1.355,-184.21486244392122,-8.444717736516225
6.0,0.5,Au,1.36,-183.99134074870852,-8.45589382127686
6.0,0.5,Au,1.365,-183.76466289204137,-8.467227714110216
6.0,0.5,Au,1.37,-183.53747607318618,-8.478587055052976
6.0,0.5,Au,1.375,-183.3069861626788,-8.490111550578344
6.0,0.5,Au,1.38,-183.07601031317017,-8.501660343053777
6.0,0.5,Au,1.385,-182.8416696363202,-8.513377376896274
6.0,0.5,Au,1.39,-182.6067754381482,-8.525122086804876
6.0,0.5,Au,1.395,-182.368543417424,-8.537033687841085
6.0,0.5,Au,1.4,-182.12959873997318,-8.548980921713627
6.0,0.5,Au,1.405,-181.88742998621362,-8.561089359401604
6.0,0.5,Au,1.41,-181.64430253220718,-8.573245732101926
6.0,0.5,Au,1.415,-181.39814391516944,-8.585553662953812
6.0,0.5,Au,1.42,-181.15070374296502,-8.597925671564035
6.0,0.5,Au,1.425,-180.90049164848776,-8.610436276287897
6.0,0.5,Au,1.43,-180.64861340202074,-8.62303018861125
6.0,0.5,Au,1.435,-180.39427133748939,-8.635747291837816
6.0,0.5,Au,1.44,-180.1378360277973,-8.648569057322419
6.0,0.5,Au,1.445,-179.87927271982755,-8.661497222720907
6.0,0.5,Au,1.45,-179.61816892436372,-8.6745524124941
6.0,0.5,Au,1.455,-179.35527702570133,-8.687697007427218
6.0,0.5,Au,1.46,-179.08940140239872,-8.70099078859235
6.0,0.5,Au,1.465,-178.82205689033913,-8.71435801419533
6.0,0.5,Au,1.47,-178.55131394102054,-8.727895161661259
6.0,0.5,Au,1.475,-178.27937624906303,-8.741492046259133
6.0,0.5,Au,1.48,-178.00367730916324,-8.755276993254123
6.0,0.5,Au,1.485,-177.72699018940187,-8.769111349242191
6.0,0.5,Au,1.49,-177.4462516657239,-8.78314827542609
6.0,0.5,Au,1.495,-177.16464473414044,-8.797228622005264
6.0,0.5,Au,1.5,-176.8787856568398,-8.811521575870296
6.0,0.5,Au,1.505,-176.59207652987374,-8.825857032218599
6.0,0.5,Au,1.51,-176.30101552645314,-8.840410082389628
6.0,0.5,Au,1.515,-176.00901241754892,-8.85501023783484
6.0,0.5,Au,1.52,-175.71266425278853,-8.869827646072858
6.0,0.5,Au,1.525,-175.41516886451086,-8.884702415486743
6.0,0.5,Au,1.53,-175.11344071867126,-8.899788822778723
6.0,0.5,Au,1.535,-174.8102512414934,-8.914948296637615
6.0,0.5,Au,1.54,-174.50303891795403,-8.930308912814585
6.0,0.5,Au,1.545,-174.1939529326064,-8.945763212081966
6.0,0.5,Au,1.55,-173.88113719394178,-8.961403999015197
6.0,0.5,Au,1.555,-173.56595427128994,-8.977163145147788
6.0,0.5,Au,1.56,-173.24739749891432,-8.99309098376657
6.0,0.5,Au,1.565,-172.92592130016402,-9.009164793704084
6.0,0.5,Au,1.57,-172.60146465693148,-9.025387625865712
6.0,0.5,Au,1.575,-172.27350435725282,-9.041785640849644
6.0,0.5,Au,1.58,-171.94296560542642,-9.058312578440963
6.0,0.5,Au,1.585,-171.60833649493773,-9.0750440339654
6.0,0.5,Au,1.59,-171.27150858487582,-9.091885429468494
6.0,0.5,Au,1.595,-170.93003174074298,-9.108959271675136
6.0,0.5,Au,1.6,-170.58668224039158,-9.126126746692705
6.0,0.5,Au,1.605,-170.2381832104646,-9.143551698189055
6.0,0.5,Au,1.61,-169.8880545945601,-9.161058128984282
6.0,0.5,Au,1.615,-169.53236108390246,-9.178842804517162
6.0,0.5,Au,1.62,-169.17517184738858,-9.196702266342855
6.0,0.5,Au,1.625,-168.8121104513557,-9.2148553361445
6.0,0.5,Au,1.63,-168.44755695682957,-9.233083010870805
6.0,0.5,Au,1.635,-168.0769490349528,-9.251613406964646
6.0,0.5,Au,1.64,-167.70470795195578,-9.270225461114496
6.0,0.5,Au,1.645,-167.3263647827727,-9.28914261957365
6.0,0.5,Au,1.65,-166.94609593027445,-9.308156062198563
6.0,0.5,Au,1.655,-166.55981332547677,-9.327470192438447
6.0,0.5,Au,1.66,-166.17116269059076,-9.346902724182748
6.0,0.5,Au,1.665,-165.77671527494314,-9.366625094965128
6.0,0.5,Au,1.67,-165.37931795284993,-9.386494961069788
6.0,0.5,Au,1.675,-164.9764533321566,-9.406638192104456
6.0,0.5,Au,1.68,-164.5699361159852,-9.426964052913025
6.0,0.5,Au,1.685,-164.15836915746104,-9.447542400839232
6.0,0.5,Au,1.69,-163.74235250330955,-9.468343233546808
6.0,0.5,Au,1.695,-163.3217599402269,-9.48937286170094
6.0,0.5,Au,1.7,-162.89585904169977,-9.510667906627297
6.0,0.5,Au,1.705,-162.46587458697755,-9.532167129363406
6.0,0.5,Au,1.71,-162.02969931481346,-9.553975892971613
6.0,0.5,Au,1.715,-161.58990942687254,-9.575965387368658
6.0,0.5,Au,1.72,-161.14306292083944,-9.598307712670314
6.0,0.5,Au,1.725,-160.69300331072654,-9.620810693175958
6.0,0.5,Au,1.73,-160.23507905064244,-9.643706906180164
6.0,0.5,Au,1.735,-159.77423195385074,-9.66674926101975
6.0,0.5,Au,1.74,-159.30480918111303,-9.690220399656633
