run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,pH,pH_ref,E1_eq_pH_slope_V_per_pH,E2_eq_pH_slope_V_per_pH,it0_1_pH_order,it0_2_pH_order,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,ofat_L_gap_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_pH_min,ofat_pH_max,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,heatmap_L_min,heatmap_L_max,heatmap_Cdl_C_min,heatmap_Cdl_C_max,heatmap_pzc_C_offsets,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,i_mix_avg_A_per_m2,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,residual_avg_A_per_m2,converged,method,iterations,out_of_plane_width_m,reactive_length_m,reactive_area_m2,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,delta_pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,use_edl_case,C_tot_M,phi2_1_meanV,phi2_2_meanV,scan_param,scan_value,scan_value_M,Cdl_Au_uF_per_cm2,Cdl_Pd_uF_per_cm2,L_Au_nm,L_Pd_len_nm,pzc_Au_V,pzc_Pd_V
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,4.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6245017568712685,26.65893410746229,26.65893410746229,8.1075627309759e-08,8.1075627309759e-08,1.6890755689533123,2.737798254770496e-08,2.737798254770496e-08,8.326241028929529e-17,8.326241028929529e-17,1.7346335476936518e-09,True,brentq,18,1.0,4.8e-08,4.8e-08,0.4910012319373047,-0.24931004846041058,0.6184771087435317,-0.22942835316725485,6.147679336879568,False,-3.0,0.1,1.0113795000472439,8.85e-05,0.38780000000000026,with_edl_FULL,0.01,,,pH,4.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,4.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.7708938710280097,150.89178374644382,150.89178374644382,4.5889479203547837e-07,4.5889479203547837e-07,9.560308167405799,1.5063505998114124e-12,1.5063505998114124e-12,4.581140391279042e-21,4.581140391279042e-21,9.544042481831337e-14,True,brentq,16,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,-3.0,0.1,1.0113795000472439,8.85e-05,0.38780000000000026,without_edl,0.01,,,pH,4.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,5.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5706365374356841,5.585875921622624,5.585875921622624,1.6987865778672074e-08,1.6987865778672074e-08,0.3539138703890016,-5.8761884247360285e-12,-5.8761884247360285e-12,-1.7870769356546074e-20,-1.7870769356546074e-20,-3.723076949280432e-13,True,brentq,20,1.0,4.8e-08,4.8e-08,0.4910012319373047,-0.24931004846041058,0.6184771087435317,-0.22942835316725485,4.841634471751522,False,-2.0,0.1,0.9522530000314959,8.85e-05,0.038780000000000016,with_edl_FULL,0.01,,,pH,5.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,5.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6777866238767943,24.621203101957118,24.621203101957118,7.487844332281059e-08,7.487844332281059e-08,1.5599675692252206,1.6932233393163187e-11,1.6932233393163187e-11,5.1494611096311114e-20,5.1494611096311114e-20,1.072804397839815e-12,True,brentq,13,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,-2.0,0.1,0.9522530000314959,8.85e-05,0.038780000000000016,without_edl,0.01,,,pH,5.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,6.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5167742413167398,1.1709269792510613,1.1709269792510613,3.5610440760318098e-09,3.5610440760318098e-09,0.0741884182506627,1.8136603330276557e-12,1.8136603330276557e-12,5.515736249405545e-21,5.515736249405545e-21,1.1491117186261552e-13,True,brentq,18,1.0,4.8e-08,4.8e-08,0.4910012319373047,-0.24931004846041058,0.6184771087435317,-0.22942835316725485,3.535681564556608,False,-1.0,0.1,0.893126500015748,8.85e-05,0.003878000000000001,with_edl_FULL,0.01,,,pH,6.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,6.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5846793767255605,4.017472834745319,4.017472834745319,1.2218010253670198e-08,1.2218010253670198e-08,0.2545418802847958,2.957634137601417e-12,2.957634137601417e-12,8.99480984844293e-21,8.99480984844293e-21,1.8739187184256102e-13,True,brentq,17,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,-1.0,0.1,0.893126500015748,8.85e-05,0.003878000000000001,without_edl,0.01,,,pH,6.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46291371413215676,0.24555592125755663,0.24555592125755663,7.467890604827082e-10,7.467890604827082e-10,0.015558105426723087,9.556327951187882e-12,9.556327951187882e-12,2.9062875518472654e-20,2.9062875518472654e-20,6.054765733015137e-13,True,brentq,17,1.0,4.8e-08,4.8e-08,0.4910012319373047,-0.24931004846041058,0.6184771087435317,-0.22942835316725485,2.229786088025575,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,pH,7.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4915721295774951,0.6555361211259985,0.6555361211259985,1.9936281784656743e-09,1.9936281784656743e-09,0.04153392038470155,7.088740705540886e-11,7.088740705540886e-11,2.1558405044299045e-19,2.1558405044299045e-19,4.491334384228968e-12,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,pH,7.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,8.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4090538896933952,0.05151651919418733,0.05151651919418733,1.566729597532873e-10,1.566729597532873e-10,0.003264019994860152,-5.4761750689635846e-14,-5.4761750689635846e-14,-1.6654241583124907e-22,-1.6654241583124907e-22,-3.4696336631510225e-15,True,brentq,18,1.0,4.8e-08,4.8e-08,0.4910012319373047,-0.24931004846041058,0.6184771087435317,-0.22942835316725485,2.026217731763552,False,1.0,0.1,0.7748734999842519,8.85e-05,3.877999999999999e-05,with_edl_FULL,0.01,,,pH,8.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,8.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.39846488240827754,0.10696465753480824,0.10696465753480824,3.2530282998751303e-10,3.2530282998751303e-10,0.006777142291406521,-5.3601387217661056e-11,-5.3601387217661056e-11,-1.6301349768251663e-19,-1.6301349768251663e-19,-3.39611453505243e-12,True,brentq,15,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,1.0,0.1,0.7748734999842519,8.85e-05,3.877999999999999e-05,without_edl,0.01,,,pH,8.0,,,,,,,
