group,scan,side,case,parameter_value_display,distance_nm,distance_over_lambda_D,phi_profile_mV
CH,Cdl_Pd,Pd,base,40.0,11.468279749089172,3.770949720670391,-2.4008613620787074
CH,Cdl_Pd,Pd,base,40.0,11.553229969452795,3.798882681564246,-2.3340199261689483
CH,Cdl_Pd,Pd,base,40.0,11.638180189816419,3.8268156424581004,-2.2690443390705592
CH,Cdl_Pd,Pd,base,40.0,11.72313041018004,3.854748603351955,-2.2058823343526974
CH,Cdl_Pd,Pd,base,40.0,11.808080630543666,3.88268156424581,-2.144483116526279
CH,Cdl_Pd,Pd,base,40.0,11.893030850907289,3.9106145251396645,-2.084797319382826
CH,Cdl_Pd,Pd,base,40.0,11.977981071270912,3.9385474860335195,-2.026776965523857
CH,Cdl_Pd,Pd,base,40.0,12.062931291634536,3.966480446927374,-1.9703754270463367
CH,Cdl_Pd,Pd,base,40.0,12.14788151199816,3.994413407821229,-1.915547387350729
CH,Cdl_Pd,Pd,base,40.0,12.232831732361785,4.022346368715084,-1.8622488040392056
CH,Cdl_Pd,Pd,base,40.0,12.317781952725404,4.050279329608938,-1.8104368728725002
CH,Cdl_Pd,Pd,base,40.0,12.40273217308903,4.078212290502793,-1.7600699927548242
CH,Cdl_Pd,Pd,base,40.0,12.487682393452655,4.106145251396648,-1.7111077317171952
CH,Cdl_Pd,Pd,base,40.0,12.572632613816275,4.134078212290502,-1.6635107938703282
CH,Cdl_Pd,Pd,base,40.0,12.6575828341799,4.162011173184357,-1.6172409872991704
CH,Cdl_Pd,Pd,base,40.0,12.742533054543523,4.189944134078212,-1.572261192871928
CH,Cdl_Pd,Pd,base,40.0,12.827483274907149,4.217877094972067,-1.5285353339372336
CH,Cdl_Pd,Pd,base,40.0,12.91243349527077,4.245810055865921,-1.4860283468838957
CH,Cdl_Pd,Pd,base,40.0,12.997383715634394,4.273743016759776,-1.4447061525383982
CH,Cdl_Pd,Pd,base,40.0,13.082333935998019,4.301675977653631,-1.4045356283760633
CH,Cdl_Pd,Pd,base,40.0,13.16728415636164,4.329608938547485,-1.36548458152248
CH,Cdl_Pd,Pd,base,40.0,13.252234376725264,4.35754189944134,-1.32752172252247
