L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.9,Au,1.32,-191.4122955657192,-5.77219984622909
1.0,0.9,Au,1.325,-191.34182655021152,-5.775723297004473
1.0,0.9,Au,1.33,-191.27093025934764,-5.779268111547668
1.0,0.9,Au,1.335,-191.19927878113606,-5.782850685458247
1.0,0.9,Au,1.34,-191.1272913169085,-5.786450058669625
1.0,0.9,Au,1.345,-191.0544400077626,-5.79009262412692
1.0,0.9,Au,1.35,-190.98133104480718,-5.79374807227469
1.0,0.9,Au,1.355,-190.9072648617732,-5.79745138142639
1.0,0.9,Au,1.36,-190.833000396227,-5.8011646047036995
1.0,0.9,Au,1.365,-190.75770612397557,-5.804929318316271
1.0,0.9,Au,1.37,-190.6822489885934,-5.80870217508538
1.0,0.9,Au,1.375,-190.6057145647326,-5.81252889627842
1.0,0.9,Au,1.38,-190.52902510015147,-5.816363369507477
1.0,0.9,Au,1.385,-190.45123879834725,-5.820252684597688
1.0,0.9,Au,1.39,-190.3732756403306,-5.824150842498519
1.0,0.9,Au,1.395,-190.29422515538752,-5.828103366745674
1.0,0.9,Au,1.4,-190.21494608971415,-5.832067320029342
1.0,0.9,Au,1.405,-190.13461757562376,-5.836083745733861
1.0,0.9,Au,1.41,-190.05398040681663,-5.840115604174217
1.0,0.9,Au,1.415,-189.97235752264586,-5.844196748382757
1.0,0.9,Au,1.42,-189.8903209004158,-5.84829857949426
1.0,0.9,Au,1.425,-189.80738391955586,-5.852445428537257
1.0,0.9,Au,1.43,-189.7239080678226,-5.856619221123919
1.0,0.9,Au,1.435,-189.6396331033907,-5.860832969345514
1.0,0.9,Au,1.44,-189.5546804010597,-5.865080604462065
1.0,0.9,Au,1.445,-189.46903879425676,-5.869362684802212
1.0,0.9,Au,1.45,-189.3825741643966,-5.873685916295219
1.0,0.9,Au,1.455,-189.29553207365015,-5.878038020832542
1.0,0.9,Au,1.46,-189.20752314793862,-5.882438467118119
1.0,0.9,Au,1.465,-189.11904136517367,-5.886862556256365
1.0,0.9,Au,1.47,-189.02945840291716,-5.891341704369192
1.0,0.9,Au,1.475,-188.9394924099096,-5.89584000401957
1.0,0.9,Au,1.48,-188.84830796489197,-5.900399226270451
1.0,0.9,Au,1.485,-188.75680822815806,-5.904974213107146
1.0,0.9,Au,1.49,-188.66399657124097,-5.909614795953002
1.0,0.9,Au,1.495,-188.57090905907447,-5.914269171561326
1.0,0.9,Au,1.5,-188.4764453789953,-5.918992355565285
1.0,0.9,Au,1.505,-188.38171227002576,-5.923729011013762
1.0,0.9,Au,1.51,-188.2855716883523,-5.928536040097435
1.0,0.9,Au,1.515,-188.189132228139,-5.9333580131081005
1.0,0.9,Au,1.52,-188.09128867600913,-5.9382501907145935
1.0,0.9,Au,1.525,-187.99308012755415,-5.943160618137343
1.0,0.9,Au,1.53,-187.89350514092604,-5.948139367468748
1.0,0.9,Au,1.535,-187.79346376721386,-5.953141436154357
1.0,0.9,Au,1.54,-187.69212526325657,-5.958208361352221
1.0,0.9,Au,1.545,-187.5901872755618,-5.96330526073696
1.0,0.9,Au,1.55,-187.4870483751188,-5.968462205759109
1.0,0.9,Au,1.555,-187.3831507801595,-5.973657085507075
1.0,0.9,Au,1.56,-187.27816873966128,-5.978906187531987
1.0,0.9,Au,1.565,-187.1722500218675,-5.984202123421674
1.0,0.9,Au,1.57,-187.06537533266427,-5.989545857881836
1.0,0.9,Au,1.575,-186.9573759147434,-5.99494582877788
1.0,0.9,Au,1.58,-186.8485516187675,-6.0003870435766755
1.0,0.9,Au,1.585,-186.73841405407583,-6.005893921811258
1.0,0.9,Au,1.59,-186.62757531244256,-6.011435858892922
1.0,0.9,Au,1.595,-186.51524417587677,-6.017052415721211
1.0,0.9,Au,1.6,-186.4023181121403,-6.0226987189080345
1.0,0.9,Au,1.605,-186.28773957162005,-6.0284276459340465
1.0,0.9,Au,1.61,-186.1726453946311,-6.0341823547834945
1.0,0.9,Au,1.615,-186.05576646191116,-6.040026301419492
1.0,0.9,Au,1.62,-185.9384158555407,-6.045893831738014
1.0,0.9,Au,1.625,-185.8191833321234,-6.0518554579088795
1.0,0.9,Au,1.63,-185.6994810814178,-6.05784057044416
