segment_id,material,x_nm,phi_RP_V,sigma_C_per_m2
Au,Au,0.725,-0.1939656876218423,-0.055561939795624626
Au,Au,0.73,-0.19393245059533817,-0.05557855830887669
Au,Au,0.735,-0.19389875324270997,-0.05559540698519079
Au,Au,0.74,-0.19386482173585176,-0.055612372738619895
Au,Au,0.745,-0.19383065550421144,-0.055629455854440055
Au,Au,0.75,-0.19379602237055588,-0.05564677242126784
Au,Au,0.755,-0.19376129371619663,-0.05566413674844746
Au,Au,0.76,-0.19372609455270182,-0.05568173633019487
Au,Au,0.765,-0.19369065390135656,-0.055699456655867494
Au,Au,0.77,-0.19365497115211391,-0.05571729803048882
Au,Au,0.775,-0.19361881092108416,-0.0557353781460037
Au,Au,0.78,-0.19358254951441767,-0.05575350884933694
Au,Au,0.785,-0.19354580679837183,-0.05577188020735986
Au,Au,0.79,-0.19350881480617685,-0.05579037620345735
Au,Au,0.795,-0.19347157288545713,-0.05580899716381721
Au,Au,0.8,-0.19343384226198024,-0.055827862475555656
Au,Au,0.805,-0.19339600444748245,-0.05584678138280455
Au,Au,0.81,-0.1933576738683985,-0.055865946672346525
Au,Au,0.815,-0.19331908574127613,-0.05588524073590771
Au,Au,0.82,-0.19328023936830727,-0.05590466392239214
Au,Au,0.825,-0.19324089239047434,-0.0559243374113086
Au,Au,0.83,-0.1932014318217195,-0.05594406769568602
Au,Au,0.835,-0.19316146633698694,-0.055964050438052304
Au,Au,0.84,-0.1931212345171203,-0.05598416634798563
Au,Au,0.845,-0.1930807356154752,-0.056004415798808174
Au,Au,0.85,-0.19303972348205345,-0.05602492186551905
Au,Au,0.855,-0.19299859094694033,-0.05604548813307561
Au,Au,0.86,-0.19295694060318141,-0.05606631330495507
Au,Au,0.865,-0.1929150145873694,-0.056087276312861076
Au,Au,0.87,-0.19287281210028398,-0.056108377556403785
Au,Au,0.875,-0.19283008298189552,-0.056129742115598014
Au,Au,0.88,-0.19278722621128264,-0.05615117050090446
Au,Au,0.885,-0.19274383794868713,-0.05617286463220221
Au,Au,0.89,-0.19270016408933874,-0.056194701561876406
Au,Au,0.895,-0.19265620377732795,-0.0562166817178818
Au,Au,0.9,-0.19261170260945565,-0.05623893230181795
Au,Au,0.905,-0.19256706606733165,-0.05626125057287995
Au,Au,0.91,-0.19252188350503585,-0.05628384185402785
Au,Au,0.915,-0.19247640479182368,-0.056306581210633935
Au,Au,0.92,-0.1924306290105646,-0.05632946910126348
Au,Au,0.925,-0.19238429726629092,-0.05635263497340032
Au,Au,0.93,-0.19233782191934554,-0.05637587264687301
Au,Au,0.935,-0.19229078511965034,-0.05639939104672061
Au,Au,0.94,-0.19224344093956128,-0.056423063136765136
Au,Au,0.945,-0.1921957883957249,-0.05644688940868332
Au,Au,0.95,-0.1921475638358107,-0.05647100168864043
Au,Au,0.955,-0.19209918689996067,-0.05649519015656544
Au,Au,0.96,-0.19205023210886268,-0.05651966755211443
Au,Au,0.965,-0.19200095798205727,-0.05654430461551714
Au,Au,0.97,-0.19195136346443842,-0.056569101874326566
Au,Au,0.975,-0.1919011798619928,-0.05659419367554938
Au,Au,0.98,-0.19185083452306204,-0.05661936634501476
Au,Au,0.985,-0.19179989388420257,-0.05664483666444449
Au,Au,0.99,-0.19174862117270958,-0.05667047302019099
Au,Au,0.995,-0.19169701525559843,-0.05669627597874656
Au,Au,1.0,-0.19164480209218662,-0.056722382560452464
Au,Au,1.005,-0.19159241719751918,-0.056748575007786184
Au,Au,1.01,-0.19153941843621333,-0.05677507438843911
Au,Au,1.015,-0.19148607402203421,-0.05680174659552867
Au,Au,1.02,-0.19143238273731786,-0.056828592237886846
Au,Au,1.025,-0.19137806486686593,-0.05685575117311281
Au,Au,1.03,-0.1913235645841475,-0.05688300131447202
Au,Au,1.035,-0.1912684306576426,-0.05691056827772448
Au,Au,1.04,-0.19121293658630925,-0.05693831531339115
Au,Au,1.045,-0.19115708106023815,-0.0569662430764267
Au,Au,1.05,-0.19110057833652028,-0.05699449443828564
Au,Au,1.055,-0.19104388177550696,-0.057022842718792294
Au,Au,1.06,-0.19098653048500644,-0.057051518364042555
Au,Au,1.065,-0.19092880357000178,-0.05708038182154489
Au,Au,1.07,-0.190870699619901,-0.05710943379659528
Au,Au,1.075,-0.19081192648271741,-0.05713882036518707
Au,Au,1.08,-0.1907529472748646,-0.05716830996911347
Au,Au,1.085,-0.19069329083412534,-0.057198138189483105
Au,Au,1.09,-0.1906332422168272,-0.057228162498132173
Au,Au,1.095,-0.19057279990226325,-0.05725838365541415
Au,Au,1.1,-0.1905116649166061,-0.05728895114824273
Au,Au,1.105,-0.19045031074676202,-0.05731962823316476
Au,Au,1.11,-0.19038825530120554,-0.057350655955943006
Au,Au,1.115,-0.19032578996011407,-0.05738188862648874
Au,Au,1.12,-0.19026291308209248,-0.057413327065499536
Au,Au,1.125,-0.19019931842362583,-0.05744512439473286
Au,Au,1.13,-0.19013549050695644,-0.057477038353067555
Au,Au,1.135,-0.19007093559619162,-0.057509315808449965
Au,Au,1.14,-0.19000595179812313,-0.05754180770748421
Au,Au,1.145,-0.18994053733878177,-0.05757451493715489
