condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
w/o EDL reference,,0.4550573514077164,3.7267351094970685e-12,-5.9335311773119774e-12,0.0037267351094970686,-0.005933531177311977,0.18633675547485343,-0.29667655886559885
w/o EDL reference,,0.4553076120959333,3.744939798673736e-12,-5.904687431721919e-12,0.003744939798673736,-0.005904687431721919,0.1872469899336868,-0.29523437158609594
w/o EDL reference,,0.45555787278415016,3.763233415745272e-12,-5.8759838997137575e-12,0.0037632334157452724,-0.005875983899713758,0.1881616707872636,-0.29379919498568785
w/o EDL reference,,0.45580813347236704,3.781616395114615e-12,-5.84741989968917e-12,0.0037816163951146153,-0.00584741989968917,0.18908081975573074,-0.29237099498445845
w/o EDL reference,,0.45605839416058397,3.800089173306719e-12,-5.818994753363176e-12,0.0038000891733067192,-0.005818994753363176,0.1900044586653359,-0.2909497376681588
w/o EDL reference,,0.45630865484880084,3.818652188978902e-12,-5.790707785748062e-12,0.0038186521889789016,-0.005790707785748062,0.19093260944894508,-0.2895353892874031
w/o EDL reference,,0.4565589155370178,3.8373058829312924e-12,-5.762558325137292e-12,0.0038373058829312924,-0.005762558325137291,0.1918652941465646,-0.28812791625686457
w/o EDL reference,,0.45680917622523465,3.8560506981172544e-12,-5.734545703089617e-12,0.0038560506981172543,-0.005734545703089617,0.19280253490586272,-0.2867272851544808
w/o EDL reference,,0.4570594369134515,3.874887079653954e-12,-5.706669254413162e-12,0.0038748870796539536,-0.0057066692544131626,0.19374435398269765,-0.28533346272065807
w/o EDL reference,,0.4573096976016684,3.893815474832892e-12,-5.6789283171496514e-12,0.003893815474832892,-0.005678928317149652,0.19469077374164456,-0.28394641585748254
w/o EDL reference,,0.4575599582898853,3.912836333130549e-12,-5.6513222325586685e-12,0.003912836333130549,-0.005651322232558669,0.1956418166565274,-0.2825661116279334
w/o EDL reference,,0.4578102189781022,3.931950106219032e-12,-5.623850345102064e-12,0.003931950106219033,-0.005623850345102065,0.19659750531095158,-0.2811925172551032
w/o EDL reference,,0.45806047966631913,3.95115724797684e-12,-5.596512002428319e-12,0.00395115724797684,-0.0055965120024283185,0.19755786239884196,-0.2798256001214159
w/o EDL reference,,0.458310740354536,3.970458214499588e-12,-5.569306555357106e-12,0.003970458214499588,-0.005569306555357106,0.19852291072497938,-0.27846532776785526
