d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,E_mix_with_EDL_V,E_mix_without_EDL_V,delta_E_total_EDL_V,i_mix_avg_with_EDL_A_per_m2,i_mix_avg_without_EDL_A_per_m2,delta_i_total_EDL_A_per_m2,I_Au_with_EDL_A,I_Pd_with_EDL_A,relative_balance_residual,max_abs_phi_tilde,n_nodes,n_elements,E_mix_no_overlap_100nm_V,i_mix_avg_no_overlap_100nm_A_per_m2,delta_E_overlap_vs_100nm_V,delta_i_overlap_vs_100nm_A_per_m2,reference_100nm_plateau_validated
4.500000000000001e-09,4.500000000000001,1.4796703702980813,0.5983840814893395,0.46699999999999997,0.13138408148933955,0.0834098077070111,0.11756035407872421,-0.03415054637171311,4.1704903853505553e-11,-4.170490385557297e-11,2.4786235734590888e-11,6.02593710052629,11585,11310,0.5980484934361089,0.08383834671661106,0.0003355880532306399,-0.0004285390095999514,True
5e-09,5.0,1.6440781892200902,0.5983231481955971,0.46699999999999997,0.1313231481955971,0.08348596372423718,0.11756035407872421,-0.03407439035448703,4.1742981862118594e-11,-4.17429818642018e-11,2.4952806954521426e-11,6.0270421678758375,12109,11830,0.5980484934361089,0.08383834671661106,0.00027465475948817986,-0.0003523829923738758,True
5.5000000000000004e-09,5.500000000000001,1.8084860081420993,0.5982738865461729,0.46699999999999997,0.1312738865461729,0.08354810644818417,0.11756035407872421,-0.034012247630540046,4.177405322409208e-11,-4.1774053226187855e-11,2.5084613294921395e-11,6.027935494502007,12633,12350,0.5980484934361089,0.08383834671661106,0.0002253931100639761,-0.000290240268426889,True
6.000000000000001e-09,6.000000000000001,1.9728938270641083,0.5982334465666383,0.46699999999999997,0.13123344656663838,0.0835998619319656,0.11756035407872421,-0.033960492146758614,4.1799930965982804e-11,-4.179993096808851e-11,2.518789532437239e-11,6.028668810291766,12895,12610,0.5980484934361089,0.08383834671661106,0.00018495313052946383,-0.00023848478464545686,True
6.082435778035001e-09,6.082435778035001,1.9999999999998548,0.5982274569102438,0.46699999999999997,0.13122745691024384,0.08360762504887873,0.11756035407872421,-0.03395272902984549,4.180381252443936e-11,-4.1803812526546605e-11,2.5203952500669526e-11,6.028777422054361,12895,12610,0.5980484934361089,0.08383834671661106,0.00017896347413492997,-0.00023072166773233094,True
6.5e-09,6.5,2.1373016459861174,0.5982006116116045,0.46699999999999997,0.13120061161160457,0.08364199653614238,0.11756035407872421,-0.03391835754258184,4.182099826807119e-11,-4.182099827018489e-11,2.527078004049212e-11,6.029264176862922,13026,12740,0.5980484934361089,0.08383834671661106,0.00015211817549565243,-0.00019635018046867958,True
7.000000000000001e-09,7.000000000000001,2.3017094649081264,0.5981738985866719,0.46699999999999997,0.13117389858667194,0.08367631560584654,0.11756035407872421,-0.03388403847287767,4.183815780292327e-11,-4.1838157805043247e-11,2.53354061025612e-11,6.0297485053883815,13157,12870,0.5980484934361089,0.08383834671661106,0.00012540515056302937,-0.0001620311107645156,True
7.500000000000001e-09,7.500000000000001,2.4661172838301355,0.5981520477102243,0.46699999999999997,0.13115204771022437,0.08370446206317672,0.11756035407872421,-0.03385589201554749,4.1852231031588365e-11,-4.185223103371366e-11,2.539042599999795e-11,6.030144655260678,13288,13000,0.5980484934361089,0.08383834671661106,0.00010355427411545826,-0.0001338846534343352,True
8e-09,8.0,2.630525102752144,0.5981341329286227,0.46699999999999997,0.13113413292862275,0.08372758148621037,0.11756035407872421,-0.03383277259251384,4.186379074310519e-11,-4.186379074523448e-11,2.5431191321091017e-11,6.030469426229001,13419,13130,0.5980484934361089,0.08383834671661106,8.563949251383374e-05,-0.00011076523040068342,True
8.5e-09,8.5,2.794932921674153,0.5981192874887156,0.46699999999999997,0.1311192874887156,0.08374679467932102,0.11756035407872421,-0.0338135593994032,4.187339733966051e-11,-4.187339734179324e-11,2.5466408848426463e-11,6.030738540552278,13419,13130,0.5980484934361089,0.08383834671661106,7.079405260668192e-05,-9.15520372900408e-05,True
