scan,side,reactant,sweep_index,is_baseline,parameter_value_SI,parameter_value_display,parameter_display_unit,sigma_C_per_m2,sigma_mC_per_m2,sigma_uC_per_cm2,phi_RP_mean_V,phi_RP_mean_mV,reactant_mean,log10_reactant_mean,eta_mean_V,eta_mean_mV,bv_exp_mean,log10_bv_exp_mean,bv_conc_exp_mean,log10_bv_conc_exp_mean,side_current_avg_A_per_m2,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,max_abs_phi_tilde,debye_huckel_ok
Cdl_Au,Au,R1,29,False,0.412635413536159,41.2635413536159,$\mu$F cm$^{-2}$,-0.047978074069260745,-47.97807406926074,-4.797807406926075,-0.19779922090596502,-197.79922090596503,0.0005960580074864611,-3.224711473304396,0.713727686729301,713.727686729301,1108838.5623973787,6.044868321114388,511.8744328891798,2.7091634379455463,0.04741426034273908,0.6159284658233359,0.4670000000000001,0.04741426034273908,0.11756035407872442,2.3707130171369543e-11,5.878017703936221e-11,7.877386576321777,False
Cdl_Au,Au,R1,30,False,0.447213595499958,44.721359549995796,$\mu$F cm$^{-2}$,-0.04912559767662286,-49.12559767662286,-4.9125597676622865,-0.20244752219587642,-202.44752219587642,0.0004969701676101614,-3.30366968054463,0.7201518241597656,720.1518241597656,1256084.026331145,6.0990186927063865,483.79987981944953,2.6846657561429415,0.04481375115000431,0.6177043019638893,0.4670000000000001,0.04481375115000431,0.11756035407872442,2.240687557500216e-11,5.878017703936221e-11,8.05496735272058,False
Cdl_Au,Au,R1,31,False,0.48468937332853074,48.46893733285307,$\mu$F cm$^{-2}$,-0.05023522643802385,-50.235226438023844,-5.023522643802385,-0.2069332996931156,-206.9332996931156,0.0004163179328150407,-3.3805748815588657,0.7263558328233173,726.3558328233173,1416691.7840844442,6.151275375278347,458.1029308619182,2.6609630703246245,0.04243347632164564,0.6194225331302017,0.4670000000000001,0.04243347632164564,0.11756035407872442,2.121673816082282e-11,5.878017703936221e-11,8.225946857769706,False
Cdl_Au,Au,R1,32,False,0.5253055608807535,52.53055608807535,$\mu$F cm$^{-2}$,-0.05130557881525633,-51.30557881525633,-5.130557881525633,-0.2112511242722892,-211.2511242722892,0.00035050154985617825,-3.4553100573192976,0.7323319328102393,732.3319328102393,1590654.6670158317,6.201575904041132,434.59807105733245,2.6380877943935817,0.04025625184922218,0.6210808085379502,0.4670000000000001,0.04025625184922218,0.11756035407872442,2.0128125924611092e-11,5.878017703936221e-11,8.390104061654654,False
Cdl_Au,Au,R1,33,False,0.5693253194251531,56.93253194251531,$\mu$F cm$^{-2}$,-0.052335620665687616,-52.335620665687614,-5.233562066568761,-0.21539703739576885,-215.39703739576885,0.00029664015746711344,-3.527770056996626,0.7380743137885897,738.0743137885896,1777766.4530009096,6.24987470667073,413.1097599463363,2.61606545554489,0.03826581764919417,0.6226772763928208,0.4670000000000001,0.03826581764919417,0.11756035407872442,1.9132908824597086e-11,5.878017703936221e-11,8.547325547263434,False
Cdl_Au,Au,R1,34,False,0.6170338627200097,61.70338627200097,$\mu$F cm$^{-2}$,-0.053324650155533455,-53.324650155533455,-5.332465015553345,-0.21936848311658524,-219.36848311658525,0.00025242829554786365,-3.59786196515081,0.743579053959101,743.579053959101,1977617.6385967925,6.2961423269479075,393.4729472962013,2.594914878387945,0.036446885334017104,0.6242105708425157,0.4670000000000001,0.036446885334017104,0.11756035407872442,1.8223442667008554e-11,5.878017703936221e-11,8.697613148744637,False
Cdl_Au,Au,R1,35,False,0.668740304976422,66.8740304976422,$\mu$F cm$^{-2}$,-0.0542722783841407,-54.2722783841407,-5.42722783841407,-0.22316422210778444,-223.16422210778444,0.000216020255506277,-3.665505524579785,0.7488440146641765,748.8440146641765,2189598.295267955,6.340364446278205,375.5332957294255,2.574648448691731,0.03478515883393751,0.6256797925563921,0.4670000000000001,0.03478515883393751,0.11756035407872442,1.7392579416968757e-11,5.878017703936221e-11,8.840918787245727,False
Cdl_Au,Au,R1,36,False,0.7247796636776956,72.47796636776957,$\mu$F cm$^{-2}$,-0.055178406579577254,-55.178406579577256,-5.517840657957725,-0.22678423142606569,-226.78423142606567,0.00018593725828418091,-3.730633577167704,0.7538687157699907,753.8687157699907,2412907.920305221,6.382540748984477,359.1471731071155,2.5552724523959016,0.03326733369147635,0.6270844843439249,0.4670000000000001,0.03326733369147635,0.11756035407872442,1.6633666845738175e-11,5.878017703936221e-11,8.977260286132331,False
Cdl_Au,Au,R1,37,False,0.7855150302317644,78.55150302317644,$\mu$F cm$^{-2}$,-0.056043200863170155,-56.043200863170156,-5.604320086317015,-0.23022959428987244,-230.22959428987244,0.00016099319301803684,-3.7931924860625643,0.7586541966655499,758.6541966655499,2646571.7617816706,6.422683674379906,344.18145986901754,2.536787472344121,0.03188107921558698,0.6284246023756774,0.4670000000000001,0.03188107921558698,0.11756035407872442,1.594053960779349e-11,5.878017703936221e-11,9.106762265138237,False
Cdl_Au,Au,R1,38,False,0.8513399225207847,85.13399225207847,$\mu$F cm$^{-2}$,-0.05686706545823316,-56.867065458233164,-5.686706545823316,-0.23350238362048167,-233.50238362048168,0.00014023535163460907,-3.8531424921859143,0.7632028676749331,763.202867674933,2889462.733750228,6.4608170976149975,330.51321730999535,2.519188831718842,0.03061500775453885,0.6297004840544513,0.4670000000000001,0.03061500775453885,0.11756035407872442,1.5307503877269426e-11,5.878017703936221e-11,9.229544754022633,False
Cdl_Au,Au,R1,39,False,0.9226808345905883,92.26808345905883,$\mu$F cm$^{-2}$,-0.057650615165054826,-57.65061516505482,-5.765061516505483,-0.23660554285775148,-236.6055428577515,0.00012289721494252527,-3.9104579588450186,0.7675183562898698,767.5183562898698,3140327.7535969806,6.496974977420442,318.02925458976233,2.5024670713131534,0.02945863458859422,0.6309128134321182,0.4670000000000001,0.02945863458859422,0.11756035407872442,1.472931729429711e-11,5.878017703936221e-11,9.345701204646133,False
Cdl_Au,Au,R1,40,False,1.0,100.0,$\mu$F cm$^{-2}$,-0.05839464782364469,-58.39464782364469,-5.839464782364469,-0.2395427671245597,-239.5427671245597,0.0001083608837771576,-3.9651274615755843,0.7716053521763555,771.6053521763555,3397817.1534403022,6.531200004495211,306.62562645495484,2.486608448505603,0.028402331404659642,0.6320625850517957,0.4670000000000001,0.028402331404659642,0.11756035407872442,1.4201165702329821e-11,5.878017703936221e-11,9.455448094872487,False
