condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
4,janus_on_c_support,C-supported Janus,with EDL,0.59775,3.3722522434518448e-12,-7.946877215807338e-12,0.0033722522434518447,-0.007946877215807339,-4.574624972355494e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5980000000000001,3.3995045111033524e-12,-7.882572690124982e-12,0.003399504511103352,-0.007882572690124982,-4.483068179021629e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5982500000000001,3.426977066502911e-12,-7.818788539828706e-12,0.003426977066502911,-0.007818788539828706,-4.3918114733257954e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5985,3.454671690723429e-12,-7.755520553566804e-12,0.0034546716907234293,-0.0077555205535668045,-4.300848862843375e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.59875,3.482590179241548e-12,-7.692764554071927e-12,0.003482590179241548,-0.007692764554071927,-4.2101743748303784e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.599,3.5107343420541705e-12,-7.630516397885225e-12,0.0035107343420541703,-0.007630516397885225,-4.119782055831054e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5992500000000001,3.539106003795895e-12,-7.568771975082691e-12,0.0035391060037958952,-0.007568771975082691,-4.029665971286796e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5995,3.56770700385741e-12,-7.507527209003794e-12,0.00356770700385741,-0.007507527209003794,-3.939820205146384e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.59975,3.5965391965048936e-12,-7.446778055982101e-12,0.0035965391965048937,-0.007446778055982101,-3.8502388594772075e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6000000000000001,3.6256044510003566e-12,-7.386520505078312e-12,0.0036256044510003566,-0.007386520505078311,-3.760916054077955e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6002500000000001,3.654904651722851e-12,-7.326750577815427e-12,0.0036549046517228507,-0.0073267505778154265,-3.671845926092576e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6005,3.684441698290857e-12,-7.267464327915885e-12,0.003684441698290857,-0.007267464327915885,-3.5830226296250274e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60075,3.714217505685491e-12,-7.208657841040996e-12,0.003714217505685491,-0.007208657841040996,-3.4944403353555048e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.601,3.744234004374835e-12,-7.1503272345324244e-12,0.003744234004374835,-0.0071503272345324245,-3.4060932301575894e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6012500000000001,3.77449314043915e-12,-7.092468657155753e-12,0.00377449314043915,-0.007092468657155753,-3.3179755167166026e-12
