condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,1.0,0.4718248175182482,1.0639154828288719e-12,-7.283558722460796e-12,0.0010639154828288718,-0.007283558722460796,0.05319577414144359,-0.3641779361230397
with EDL,1.0,0.4720750782064651,1.0700481809738974e-12,-7.241814931984235e-12,0.0010700481809738974,-0.007241814931984235,0.05350240904869486,-0.3620907465992117
with EDL,1.0,0.472325338894682,1.0762162296586413e-12,-7.200310385002475e-12,0.0010762162296586413,-0.007200310385002475,0.053810811482932056,-0.3600155192501237
with EDL,1.0,0.47257559958289885,1.0824198326532342e-12,-7.159043710354708e-12,0.0010824198326532342,-0.0071590437103547086,0.0541209916326617,-0.3579521855177354
with EDL,1.0,0.4728258602711158,1.0886591949023826e-12,-7.118013544738549e-12,0.0010886591949023827,-0.007118013544738549,0.05443295974511913,-0.3559006772369274
with EDL,1.0,0.47307612095933266,1.0949345225321552e-12,-7.077218532665048e-12,0.0010949345225321552,-0.007077218532665048,0.05474672612660775,-0.35386092663325236
with EDL,1.0,0.47332638164754953,1.101246022856784e-12,-7.036657326413863e-12,0.0011012460228567841,-0.007036657326413863,0.05506230114283919,-0.3518328663206931
with EDL,1.0,0.47357664233576646,1.1075939043855248e-12,-6.996328585988747e-12,0.0011075939043855248,-0.006996328585988747,0.05537969521927623,-0.3498164292994373
with EDL,1.0,0.47382690302398334,1.1139783768295213e-12,-6.9562309790733216e-12,0.0011139783768295212,-0.006956230979073321,0.05569891884147606,-0.34781154895366606
with EDL,1.0,0.4740771637122002,1.1203996511087635e-12,-6.916363180986998e-12,0.0011203996511087635,-0.006916363180986998,0.05601998255543817,-0.34581815904934987
with EDL,1.0,0.4743274244004171,1.126857939359037e-12,-6.876723874641249e-12,0.0011268579393590372,-0.006876723874641249,0.05634289696795185,-0.3438361937320624
with EDL,1.0,0.474577685088634,1.1333534549389355e-12,-6.837311750496089e-12,0.0011333534549389354,-0.006837311750496089,0.056667672746946764,-0.34186558752480445
with EDL,1.0,0.4748279457768509,1.13988641243691e-12,-6.798125506516833e-12,0.00113988641243691,-0.006798125506516833,0.05699432062184549,-0.3399062753258416
with EDL,1.0,0.4750782064650678,1.1464570276783604e-12,-6.759163848131032e-12,0.0011464570276783603,-0.006759163848131032,0.05732285138391801,-0.33795819240655156
with EDL,1.0,0.4753284671532847,1.1530655177327541e-12,-6.720425488185778e-12,0.0011530655177327542,-0.006720425488185778,0.057653275886637705,-0.33602127440928886
with EDL,1.0,0.47557872784150157,1.1597121009208151e-12,-6.6819091469051054e-12,0.0011597121009208151,-0.006681909146905105,0.05798560504604075,-0.33409545734525525
with EDL,1.0,0.47582898852971844,1.1663969968217241e-12,-6.643613551847756e-12,0.0011663969968217242,-0.006643613551847756,0.0583198498410862,-0.3321806775923878
with EDL,1.0,0.4760792492179354,1.173120426280376e-12,-6.605537437865131e-12,0.001173120426280376,-0.00660553743786513,0.05865602131401879,-0.3302768718932565
with EDL,1.0,0.47632950990615225,1.1798826114146757e-12,-6.567679547059506e-12,0.0011798826114146758,-0.006567679547059506,0.05899413057073378,-0.32838397735297525
with EDL,1.0,0.4765797705943692,1.1866837756228794e-12,-6.530038628742437e-12,0.0011866837756228795,-0.006530038628742437,0.059334188781143965,-0.3265019314371218
with EDL,1.0,0.47683003128258605,1.193524143590962e-12,-6.492613439393522e-12,0.0011935241435909619,-0.006492613439393522,0.059676207179548094,-0.3246306719696761
with EDL,1.0,0.4770802919708029,1.2004039413000591e-12,-6.455402742619227e-12,0.001200403941300059,-0.006455402742619226,0.060020197065002945,-0.3227701371309613
with EDL,1.0,0.4773305526590198,1.2073233960339195e-12,-6.418405309112071e-12,0.0012073233960339196,-0.006418405309112071,0.060366169801695964,-0.32092026545560354
