material,condition,curve_source,C_tot_M,C_tot_mol_per_m3,E_mix_V,lambda_D_nm,distance_from_RP_nm,phi_bar_tilde,phi_bar_V,phi_bar_mV
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.266210755600868,-0.21095697371670924,-0.005417019135464111,-5.417019135464111
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.31372978511677,-0.20768638898554373,-0.005333036038054532,-5.333036038054532
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.361248814632672,-0.2044665099707871,-0.005250354977886127,-5.2503549778861265
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.408767844148574,-0.20129655055317072,-0.005168955768742502,-5.168955768742502
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.456286873664476,-0.19817573680107556,-0.005088818537365543,-5.088818537365543
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.503805903180378,-0.19510330678158058,-0.005009923718603453,-5.009923718603453
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.55132493269628,-0.19207851037443924,-0.004932252050633986,-4.932252050633986
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.59884396221218,-0.18910060908894188,-0.004855784570261781,-4.855784570261781
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.646362991728083,-0.1861688758836158,-0.004780502608288561,-4.780502608288561
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.693882021243985,-0.1832825949887218,-0.004706387784955148,-4.706387784955148
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.741401050759887,-0.180441061731502,-0.004633422005454121,-4.633422005454121
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.788920080275789,-0.1776435823641367,-0.004561587455512037,-4.561587455512036
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,9.83643910979169,-0.17488947389436926,-0.004490866597040164,-4.490866597040164
