x_nm,segment_id,material,phi_tilde_with,phi_tilde_no,phi_rp_with_V,phi_rp_no_V,c_R1_with,c_O2_with,c_R1_no,c_O2_no,eta_au_with_V,eta_pd_with_V,eta_au_no_V,eta_pd_no_V,j_au_with,j_pd_with,j_au_no,j_pd_no
0.20533141210374642,C_left,C,1.5179974983862436,0.0,0.038979614427857204,0.0,4.563078468034867,0.21915029667036595,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.20893371757925075,C_left,C,1.5179096598873016,0.0,0.03897735888341506,0.0,4.562677671674613,0.21916954734893113,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.21253602305475505,C_left,C,1.5178350001993905,0.0,0.03897544174860346,0.0,4.56233703629963,0.2191859110897841,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.21613832853025938,C_left,C,1.5177664616580824,0.0,0.03897368179450835,0.0,4.562024351089823,0.21920093428723364,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.21974063400576369,C_left,C,1.5176942425656659,0.0,0.03897182733007101,0.0,4.5616948977281595,0.21921676535141038,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.22334293948126802,C_left,C,1.5176092674199548,0.0,0.038969645311708476,0.0,4.561307283508556,0.21923539411946835,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.22694524495677235,C_left,C,1.517506400359995,0.0,0.038967003859177216,0.0,4.5608380993709385,0.21925794737987447,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.23054755043227668,C_left,C,1.517386263963889,0.0,0.03896391895923243,0.0,4.5602902096298665,0.2192842898218016,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.23414985590778098,C_left,C,1.517255019239256,0.0,0.03896054881615424,0.0,4.559691734871243,0.2193130716167237,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.23775216138328534,C_left,C,1.5171221844903897,0.0,0.03895713784393661,0.0,4.559086089590994,0.21934220594849796,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.24135446685878964,C_left,C,1.5169972651603771,0.0,0.03895393012631938,0.0,4.558516607181633,0.2193696077413797,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.24495677233429394,C_left,C,1.5168863878492402,0.0,0.03895108298405366,0.0,4.558011199137116,0.21939393220212172,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.24855907780979827,C_left,C,1.516790130362205,0.0,0.038948611254202715,0.0,4.557572477548666,0.21941505152713656,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.25216138328530263,C_left,C,1.5167033162803616,0.0,0.038946382015063154,0.0,4.55717683325259,0.21943410067023247,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2557636887608069,C_left,C,1.5166168470207282,0.0,0.03894416163037612,0.0,4.556782794582162,0.2194530757948264,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.25936599423631124,C_left,C,1.5165209229129797,0.0,0.03894169846114274,0.0,4.556345710222186,0.21947412764498853,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2629682997118156,C_left,C,1.5164085129086509,0.0,0.03893881196190197,0.0,4.555833560167111,0.21949880011931763,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2665706051873199,C_left,C,1.5162778443644456,0.0,0.03893545661416498,0.0,4.555238294920231,0.2195274835819564,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.27017291066282423,C_left,C,1.5161330311715258,0.0,0.03893173805571539,0.0,4.554578684079561,0.21955927635973882,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2737752161383285,C_left,C,1.5159826175845712,0.0,0.03892787568859658,0.0,4.553893665081996,0.2195923035418514,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2773775216138329,C_left,C,1.515836553104572,0.0,0.038924124999206104,0.0,4.553228551547749,0.2196243805200766,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.28097982708933716,C_left,C,1.5157026693817617,0.0,0.038920687091107534,0.0,4.552618989164611,0.21965378661821558,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2845821325648415,C_left,C,1.5155839065727807,0.0,0.038917637462562445,0.0,4.552078339450413,0.2196798748680439,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2881844380403458,C_left,C,1.5154772713747349,0.0,0.038914899250603145,0.0,4.551592953555236,0.21970330172404867,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.29178674351585016,C_left,C,1.5153748959183044,0.0,0.038912270421621035,0.0,4.551127006000335,0.21972579510120718,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.2953890489913545,C_left,C,1.5152668228570825,0.0,0.03890949528776149,0.0,4.550635178349925,0.21974954282373463,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.29899135446685876,C_left,C,1.5151445307088274,0.0,0.038906355031738935,0.0,4.550078705424867,0.2197764181106894,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.30259365994236315,C_left,C,1.5150039512517885,0.0,0.03890274518848315,0.0,4.549439102789523,0.21980731633199405,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.3061959654178675,C_left,C,1.5148469104649767,0.0,0.038898712646054136,0.0,4.54872471138903,0.2198418377564627,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.30979827089337175,C_left,C,1.5146804825608555,0.0,0.03889443905829159,0.0,4.547967739661247,0.21987842861754436,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.3134005763688761,C_left,C,1.514514485544483,0.0,0.038890176534999384,0.0,4.547212853242084,0.21991493081020327,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.3170028818443804,C_left,C,1.5143580048376766,0.0,0.03888615837447989,0.0,4.546501357829914,0.21994934594659596,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.32060518731988474,C_left,C,1.5142161757921624,0.0,0.0388825164439005,0.0,4.545856577607267,0.21998054336469075,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.3242074927953891,C_left,C,1.5140883644261294,0.0,0.038879234463678025,0.0,4.545275602596688,0.2200086611752885,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.3278097982708934,C_left,C,1.5139683907875234,0.0,0.03887615374307121,0.0,4.544730322054478,0.2200350579983243,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.33141210374639773,C_left,C,1.5138467161627567,0.0,0.03887302934400988,0.0,4.544177377338228,0.22006183231028592,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.335014409221902,C_left,C,1.513713819950663,0.0,0.03886961679352028,0.0,4.543573513504195,0.22009107963761282,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.33861671469740634,C_left,C,1.5135635706481025,0.0,0.03886575864494751,0.0,4.542890896035342,0.22012415065321445,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.34221902017291067,C_left,C,1.513395397291065,0.0,0.03886144023689919,0.0,4.542126967060751,0.22016117278357555,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.345821325648415,C_left,C,1.5132144922594861,0.0,0.03885679490093092,0.0,4.541305347758113,0.22020100465027434,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.34942363112391933,C_left,C,1.5130299733167227,0.0,0.03885205676582121,0.0,4.540467468201282,0.22024163965569665,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.35302593659942366,C_left,C,1.512851655369671,0.0,0.03884747786181838,0.0,4.5396578935466865,0.2202809161944872,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.356628242074928,C_left,C,1.5126865748347562,0.0,0.03884323887222363,0.0,4.538908546246319,0.2203172832876311,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.36023054755043227,C_left,C,1.5125364972851951,0.0,0.03883938513397808,0.0,4.538227409086993,0.22035035044688991,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
0.3638328530259366,C_left,C,1.5123972910835857,0.0,0.03883581055360462,0.0,4.5375957036570105,0.22038102671731294,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
