L_support_nm,x_nm,material,phi_RP_V,sigma_C_per_m2,sigma_uC_per_cm2
0.0,0.8101620324064808,Au,-0.15368466489254354,-0.0351240681980866,-3.5124068198086595
0.0,0.8201640328065626,Au,-0.1536845776923457,-0.03512408563812616,-3.5124085638126163
0.0,0.8301660332066414,Au,-0.1536845310226329,-0.03512409497206872,-3.512409497206872
0.0,0.84016803360672,Au,-0.15368454111630375,-0.03512409295333455,-3.5124092953334554
0.0,0.8501700340068018,Au,-0.15368460416153684,-0.03512408034428793,-3.5124080344287933
0.0,0.8601720344068804,Au,-0.15368469764639808,-0.035124061647315685,-3.5124061647315683
0.0,0.8701740348069622,Au,-0.15368478830636076,-0.03512404351532315,-3.5124043515323153
0.0,0.8801760352070408,Au,-0.15368484386898704,-0.0351240324027979,-3.51240324027979
0.0,0.8901780356071226,Au,-0.15368484444910135,-0.035124032286775034,-3.5124032286775035
0.0,0.9001800360072012,Au,-0.15368478957091586,-0.035124043262412134,-3.5124043262412132
0.0,0.91018203640728,Au,-0.15368469833736023,-0.035124061509123256,-3.5124061509123257
0.0,0.9201840368073617,Au,-0.15368460268636921,-0.03512408063932146,-3.512408063932146
0.0,0.9301860372074404,Au,-0.15368453611476304,-0.035124093953642695,-3.5124093953642697
0.0,0.9401880376075221,Au,-0.15368452185090428,-0.03512409680641445,-3.512409680641445
0.0,0.9501900380076008,Au,-0.15368456465220554,-0.0351240882461542,-3.5124088246154197
0.0,0.9601920384076826,Au,-0.1536846491239708,-0.035124071351801144,-3.5124071351801143
0.0,0.9701940388077613,Au,-0.1536847451536522,-0.03512405214586486,-3.5124052145864857
0.0,0.98019603920784,Au,-0.1536848185422553,-0.03512403746814424,-3.5124037468144245
0.0,0.9901980396079216,Au,-0.15368484307943744,-0.03512403256070781,-3.5124032560707814
0.0,1.0002000400080007,Au,-0.15368480979878787,-0.03512403921683773,-3.5124039216837732
0.0,1.0102020404080823,Au,-0.15368473014512463,-0.03512405514757038,-3.512405514757038
0.0,1.020204040808161,Au,-0.1536846319349938,-0.035124074789596546,-3.5124074789596547
0.0,1.0302060412082426,Au,-0.15368454953612026,-0.03512409126937125,-3.512409126937125
0.0,1.0402080416083215,Au,-0.1536845117329154,-0.035124098830012225,-3.5124098830012227
0.0,1.050210042008403,Au,-0.15368453156244083,-0.035124094864107135,-3.5124094864107134
0.0,1.0602120424084818,Au,-0.15368460170983184,-0.03512408083462894,-3.5124080834628937
0.0,1.0702140428085605,Au,-0.1536846970894604,-0.03512406175870322,-3.5124061758703222
0.0,1.0802160432086423,Au,-0.15368478370104474,-0.03512404443638636,-3.5124044436386357
0.0,1.0902180436087208,Au,-0.15368483063419494,-0.035124035049756315,-3.5124035049756315
0.0,1.1002200440088026,Au,-0.15368482098293562,-0.035124036980008176,-3.5124036980008175
0.0,1.1102220444088815,Au,-0.15368475781629404,-0.0351240496133365,-3.5124049613336497
0.0,1.120224044808963,Au,-0.15368466309634476,-0.03512406855732635,-3.5124068557326353
0.0,1.1302260452090418,Au,-0.1536845699251516,-0.035124087191564984,-3.5124087191564985
0.0,1.1402280456091205,Au,-0.15368451085757437,-0.03512409900508043,-3.5124099005080427
0.0,1.1502300460092023,Au,-0.15368450640626807,-0.03512409989534169,-3.5124099895341687
0.0,1.1602320464092808,Au,-0.15368455779769788,-0.03512408961705573,-3.512408961705573
