gap_nm,x_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
5.0,0.890625,-2.8806361210421163,-73.96987506537346,0.0560990656853582,17.825608818668776
5.0,0.89375,-2.8775316431080626,-73.89015731024024,0.05627349461218429,17.77035542028486
5.0,0.8968750000000001,-2.874436516954682,-73.81067969305535,0.0564479379999854,17.715438958997204
5.0,0.9,-2.8713507134977436,-73.73144146698483,0.05662239427265374,17.660856854351678
5.0,0.9031250000000001,-2.8682742038295395,-73.65244188972753,0.05679686185406092,17.606606551071287
5.0,0.90625,-2.8652069592176375,-73.57368022348304,0.056971339168066334,17.552685518765575
5.0,0.909375,-2.8621489511034426,-73.49515573491485,0.05714582463853729,17.499091251640326
5.0,0.9125,-2.8591001511008356,-73.4168676951153,0.0573203166893655,17.445821268212352
5.0,0.915625,-2.856060530994867,-73.33881537957211,0.05749481374448117,17.392873111028877
5.0,0.9187500000000001,-2.853030062740461,-73.26099806813504,0.05766931422786725,17.340244346390634
5.0,0.921875,-2.8500087184611314,-73.18341504498298,0.05784381656357366,17.2879325640787
5.0,0.925,-2.8469964704477158,-73.10606559859137,0.05801831917573129,17.23593537708507
5.0,0.9281250000000001,-2.843993291157141,-73.02894902170057,0.058192820488564743,17.18425042134719
5.0,0.93125,-2.8409991532112846,-72.95206461128662,0.058367318926400215,17.132875355487478
5.0,0.9343750000000001,-2.8380140293956306,-72.87541166852662,0.05854181291368606,17.081807860552562
5.0,0.9375000000000001,-2.8350378926580166,-72.79898949876673,0.05871630087500868,17.031045639757394
5.0,0.9406249999999999,-2.8320707161074217,-72.72279741149087,0.058890781235106805,16.980586418233248
5.0,0.94375,-2.8291124730127666,-72.64683472029006,0.05906525241888569,16.930427942779048
5.0,0.946875,-2.826163136801728,-72.57110074283185,0.05923971285143118,16.880567981616082
5.0,0.9500000000000001,-2.82322268105956,-72.49559480083015,0.059414160958024,16.83100432414586
5.0,0.9531250000000001,-2.8202910795279617,-72.42031622001608,0.059588595164151985,16.781734780711727
5.0,0.95625,-2.8173683061040125,-72.3452643301107,0.05976301389551874,16.732757182364658
5.0,0.9593750000000001,-2.8144543348389344,-72.27043846479317,0.05993741557806347,16.684069380628927
5.0,0.9624999999999999,-2.811549139936926,-72.19583796167082,0.06011179863797707,16.635669247271966
5.0,0.965625,-2.808652695754041,-72.12146216225041,0.06028616150171617,16.58755467407778
5.0,0.96875,-2.8057649767970783,-72.04731041190952,0.060460502596017325,16.5397235726233
5.0,0.971875,-2.802885957722478,-71.97338205986833,0.0606348203479112,16.492173874057645
5.0,0.9750000000000001,-2.8000156133352334,-71.89967645916154,0.06080911318473662,16.4449035288843
5.0,0.978125,-2.797153918587839,-71.82619296661149,0.06098337953415293,16.39791050674657
5.0,0.9812500000000001,-2.7943008485793075,-71.75293094280285,0.061157617824148726,16.351192796216786
5.0,0.9843750000000001,-2.7914563785540194,-71.67988975205306,0.06133182648306144,16.304748404585325
5.0,0.9874999999999999,-2.788620483900639,-71.60706876238456,0.06150600393959342,16.258575357653292
5.0,0.990625,-2.785793140151077,-71.53446734549809,0.06168014862282588,16.212671699528485
5.0,0.99375,-2.7829743229794586,-71.46208487674627,0.061854258962232976,16.167035492423906
5.0,0.9968750000000001,-2.780164008201102,-71.38992073510724,0.062028333387695964,16.121664816458885
5.0,1.0,-2.777362171771506,-71.31797430315876,0.06220237032951727,16.07655776946275
5.0,1.003125,-2.7745687897853757,-71.24624496705326,0.062376368218432746,16.031712466781475
5.0,1.00625,-2.771783838475712,-71.17473211649425,0.06255032548562058,15.987127041087671
5.0,1.009375,-2.7690072942127393,-71.10343514470897,0.06272424056272073,15.942799642190261
5.0,1.0125,-2.766239133502902,-71.03235344842258,0.06289811188185077,15.89872843684756
5.0,1.015625,-2.7634793329879,-70.96148642783332,0.06307193787561974,15.854911608583173
5.0,1.01875,-2.7607278694437296,-70.89083348658797,0.06324571697714235,15.811347357504227
5.0,1.021875,-2.7579847197797376,-70.82039403175752,0.0634194476200528,15.768033900121935
5.0,1.0250000000000001,-2.7552498610376754,-70.75016747381288,0.06359312823851915,15.724969469174306
5.0,1.0281250000000002,-2.7525232703908,-70.6801532266018,0.06376675726725527,15.682152313451697
5.0,1.0312500000000002,-2.7498049251430263,-70.61035070732713,0.06394033314153,15.639580697625238
5.0,1.034375,-2.747094802727931,-70.54075933652116,0.06411385429718627,15.597252902074963
5.0,1.0375,-2.7443928807078164,-70.47137853802172,0.06428731917065694,15.5551672227209
5.0,1.040625,-2.7416991367728185,-70.40220773894912,0.06446072619897845,15.513321970856847
5.0,1.04375,-2.7390135487400125,-70.33324636968327,0.06463407381980497,15.471715472986062
5.0,1.046875,-2.7363360945525317,-70.26449386384107,0.0648073604714224,15.430346070659095
5.0,1.05,-2.7336667522786935,-70.19594965825391,0.06498058459276218,15.389212120313616
5.0,1.053125,-2.7310055001111584,-70.12761319294609,0.06515374462341376,15.348311993116637
5.0,1.05625,-2.7283523163661463,-70.05948391111474,0.06532683900363344,15.307644074809446
5.0,1.059375,-2.7257071794825043,-69.99156125910584,0.06549986617436365,15.267206765552071
5.0,1.0625,-2.7230700680208435,-69.92384468639206,0.0656728245772481,15.226998479770629
5.0,1.065625,-2.720440960662698,-69.85633364555113,0.06584571265464609,15.187017646006748
5.0,1.06875,-2.717819836209705,-69.78902759224492,0.06601852884964572,15.147262706769121
5.0,1.0718750000000001,-2.715206673582773,-69.72192598519788,0.06619127160607872,15.107732118386501
5.0,1.0750000000000002,-2.712601451821277,-69.65502828617656,0.06636393936853349,15.068424350862912
5.0,1.0781250000000002,-2.7100041500822716,-69.58833395996926,0.06653653058236789,15.029337887734698
5.0,1.08125,-2.7074147476397643,-69.52184247436747,0.06670904369371801,14.990471225930195
5.0,1.084375,-2.704833223883847,-69.45555330014355,0.06688147714951727,14.951822875628842
5.0,1.0875,-2.702259558319887,-69.38946591102989,0.06705382939751162,14.91339136012283
5.0,1.090625,-2.6996937305677533,-69.32357978369912,0.0672260988862732,14.875175215680834
5.0,1.09375,-2.6971357203610413,-69.25789439774417,0.06739828406521438,14.837172991413297
