Cdl_C_F_per_m2,C_H_support_uF_per_cm2,E_mix_with_EDL_V,x_nm,material,is_support_mask,phi_tilde,phi_RP_V,phi_RP_mV,i_Au_local_A_per_m2,i_Pd_local_A_per_m2,local_current_density_A_per_m2,support_compact_voltage_V,support_sigma_C_per_m2
0.0,0.0,0.5988338459487471,33.52270454090819,support,True,-1.2028063608406692,-0.030886037840500993,-30.886037840500993,0.0,0.0,0.0,0.12971988378924815,0.0
0.0,0.0,0.5988338459487471,33.53470694138828,support,True,-1.2088157770133323,-0.031040349508073543,-31.040349508073543,0.0,0.0,0.0,0.12987419545682066,0.0
0.0,0.0,0.5988338459487471,33.54670934186837,support,True,-1.214891993793716,-0.03119637650253909,-31.196376502539092,0.0,0.0,0.0,0.13003022245128615,0.0
0.0,0.0,0.5988338459487471,33.55871174234847,support,True,-1.2210813279613988,-0.031355308160646515,-31.355308160646516,0.0,0.0,0.0,0.13018915410939358,0.0
0.0,0.0,0.5988338459487471,33.570714142828564,support,True,-1.2274085251548073,-0.03151777990863706,-31.517779908637056,0.0,0.0,0.0,0.13035162585738413,0.0
0.0,0.0,0.5988338459487471,33.58271654330866,support,True,-1.2338678577298015,-0.031683644670273514,-31.683644670273516,0.0,0.0,0.0,0.13051749061902063,0.0
0.0,0.0,0.5988338459487471,33.59471894378877,support,True,-1.240424929574182,-0.03185201921143147,-31.85201921143147,0.0,0.0,0.0,0.13068586516017855,0.0
0.0,0.0,0.5988338459487471,33.60672134426885,support,True,-1.2470286952727792,-0.03202159277197875,-32.02159277197875,0.0,0.0,0.0,0.13085543872072591,0.0
0.0,0.0,0.5988338459487471,33.618723744748955,support,True,-1.2536295678318483,-0.03219109204158458,-32.19109204158458,0.0,0.0,0.0,0.13102493799033166,0.0
0.0,0.0,0.5988338459487471,33.63072614522905,support,True,-1.2601972695083212,-0.03235973953889486,-32.35973953889486,0.0,0.0,0.0,0.13119358548764193,0.0
0.0,0.0,0.5988338459487471,33.64272854570915,support,True,-1.266732081383358,-0.03252754248159952,-32.52754248159952,0.0,0.0,0.0,0.13136138843034662,0.0
0.0,0.0,0.5988338459487471,33.65473094618924,support,True,-1.2732654001941146,-0.032695307084932713,-32.695307084932715,0.0,0.0,0.0,0.13152915303367985,0.0
0.0,0.0,0.5988338459487471,33.66673334666933,support,True,-1.2798492484952249,-0.032864369200319335,-32.86436920031934,0.0,0.0,0.0,0.13169821514906643,0.0
0.0,0.0,0.5988338459487471,33.67873574714943,support,True,-1.286538301832051,-0.033036132803509755,-33.03613280350975,0.0,0.0,0.0,0.1318699787522568,0.0
