C_H_F_per_m2,c_ion_M,g,lambda_D_nm,phi_RP_V
0.11502878484867245,0.00010528011937674228,4.905265258856681,29.639737432301267,-0.16613191935789143
0.1180265510221803,0.00010528011937674228,5.0331014199047965,29.639737432301267,-0.16684955446958882
0.12110244200629836,0.00010528011937674228,5.164269120270179,29.639737432301267,-0.167554953215405
0.124258493812403,0.00010528011937674228,5.2988551832282775,29.639737432301267,-0.16824819841349384
0.12749679551238094,0.00010528011937674228,5.436948694756681,29.639737432301267,-0.1689293779577716
0.13081949062143974,0.00010528011937674228,5.578641062503424,29.639737432301267,-0.16959858455571483
0.13422877851695558,0.00010528011937674228,5.724026076292061,29.639737432301267,-0.17025591546927946
0.13772691589429786,0.00010528011937674228,5.873199970203565,29.639737432301267,-0.17090147225935043
0.14131621826059376,0.00010528011937674228,6.026261486276137,29.639737432301267,-0.17153536053409837
0.14499906146742214,0.00010528011937674228,6.183311939865102,29.639737432301267,-0.17215768970158962
0.14877788328345076,0.00010528011937674228,6.344455286706158,29.639737432301267,-0.17276857272696444
0.15265518500805791,0.00010528011937674228,6.509798191726337,29.639737432301267,-0.17336812589446898
0.15663353312700717,0.00010528011937674228,6.679450099648277,29.639737432301267,-0.1739564685745975
0.1607155610112701,0.00010528011937674228,6.853523307434496,29.639737432301267,-0.17453372299657258
0.16490397066012225,0.00010528011937674228,7.032133038619635,29.639737432301267,-0.17510001402636488
0.16920153448966616,0.00010528011937674228,7.21539751957989,29.639737432301267,-0.1756554689504267
0.1736110971679647,0.00010528011937674228,7.4034380577900825,29.639737432301267,-0.17620021726528964
0.17813557749800019,0.00010528011937674228,7.596379122120204,29.639737432301267,-0.17673439047315162
0.18277797034970517,0.00010528011937674228,7.794348425224564,29.639737432301267,-0.17725812188355577
0.1875413486423438,0.00010528011937674228,7.997477008078076,29.639737432301267,-0.17777154642124263
0.19242886537855616,0.00010528011937674228,8.205899326715652,29.639737432301267,-0.17827480044023536
0.19744375573141193,0.00010528011937674228,8.419753341232113,29.639737432301267,-0.17876802154419894
0.20258933918585453,0.00010528011937674228,8.639180607101524,29.639737432301267,-0.17925134841309506
0.20786902173595376,0.00010528011937674228,8.864326368876409,29.639737432301267,-0.17972492063613854
0.21328629813942088,0.00010528011937674228,9.09533965632885,29.639737432301267,-0.18018887855104324
0.21884475423087846,0.00010528011937674228,9.332373383097126,29.639737432301267,-0.18064336308953147
0.22454806929541665,0.00010528011937674228,9.57558444790319,29.639737432301267,-0.18108851562906728
0.230400018504007,0.00010528011937674228,9.825133838407973,29.639737432301267,-0.1815244778507594
0.23640447541238452,0.00010528011937674228,10.081186737773242,29.639737432301267,-0.1819513916033699
0.24256541452505476,0.00010528011937674228,10.343912634000612,29.639737432301267,-0.18236939877335187
0.24888691392611964,0.00010528011937674228,10.613485432119974,29.639737432301267,-0.18277864116083095
0.2553731579786673,0.00010528011937674228,10.890083569301764,29.639737432301267,-0.18317926036143536
0.26202844009450843,0.00010528011937674228,11.173890132969055,29.639737432301267,-0.18357139765387195
0.26885716557609746,0.00010528011937674228,11.465092981987889,29.639737432301267,-0.1839551938931381
0.27586385453251416,0.00010528011937674228,11.763884871015849,29.639737432301267,-0.1843307894092527
0.2830531448714409,0.00010528011937674228,12.070463578091344,29.639737432301267,-0.18469832391138447
0.2904297953691134,0.00010528011937674228,12.385032035548003,29.639737432301267,-0.1850579363972503
0.29799868882027614,0.00010528011937674228,12.70779846434076,29.639737432301267,-0.18540976506765275
0.3057648352702308,0.00010528011937674228,13.038976511872708,29.639737432301267,-0.18575394724602173
0.3137333753311133,0.00010528011937674228,13.378785393413768,29.639737432301267,-0.18609061930282297
0.3219095835845982,0.00010528011937674228,13.727450037204965,29.639737432301267,-0.18641991658469362
0.33029887207327885,0.00010528011937674228,14.085201233344167,29.639737432301267,-0.18674197334816306
0.3389067938830388,0.00010528011937674228,14.452275786552033,29.639737432301267,-0.18705692269781654
0.34773904681878126,0.00010528011937674228,14.828916672919117,29.639737432301267,-0.187364896528758
0.35680147717595295,0.00010528011937674228,15.215373200737991,29.639737432301267,-0.18766602547322817
0.36610008361035845,0.00010528011937674228,15.611901175526876,29.639737432301267,-0.18796043885123478
