material,y_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
Au,2.217554710742088,-3.9327986367220604,-100.98763314484893,0.019588773906218878,51.04964735350427
Au,2.2809134167632905,-3.8517129075693792,-98.9054884368812,0.02124331741687089,47.073626984730076
Au,2.344272122784493,-3.772298989276992,-96.86627301094445,0.022999127713389265,43.47990986709622
Au,2.4076308288056953,-3.6945224127517333,-94.86910175888623,0.024859323323684825,40.226356404771714
Au,2.470989534826898,-3.6183494195779486,-92.91310782155338,0.02682691995776093,37.27598999715596
Au,2.5343482408481006,-3.543746947364878,-90.99744221253766,0.02890481908656506,34.59630717650121
Au,2.597706946869303,-3.4706826153961376,-89.1212734496786,0.031095796944904833,32.158686968910565
Au,2.6610656528905055,-3.3991247105750833,-87.28378719416418,0.03340249401848599,29.937884262371806
Au,2.724424358911708,-3.329042173659946,-85.48418589707228,0.035827405070582234,27.91159443531948
Au,2.7877830649329107,-3.2604045857827706,-83.72168845319989,0.03837286975895897,26.0600785472014
Au,2.851141770954113,-3.193182155246308,-81.99552986202939,0.04104106388851031,24.36584009411988
Au,2.9145004769753156,-3.127345704593121,-80.30496089568521,0.04383399133969508,22.813345749202227
Au,2.977859182996518,-3.062866657941295,-78.64924777373612,0.04675347670733394,21.3887836889601
Au,3.0412178890177204,-2.9997170285812707,-77.02767184470287,0.049801158678717976,20.079854094385556
Au,3.1045765950389232,-2.9378694068283906,-75.43952927413204,0.05297848417433968,18.875587242346082
Au,3.1679353010601257,-2.877296948125906,-73.88413073910138,0.05628670326894029,17.766185296409297
Au,3.231294007081328,-2.8179733613932703,-72.36080112902366,0.05972686490503104,16.742884489083
Au,3.2946527131025305,-2.7598728976146685,-70.86887925261927,0.06329981340563252,15.797834878151765
Au,3.3580114191237334,-2.7029703386628237,-69.4077175509305,0.06700618578773371,14.923995273628334
Au,3.4213701251449358,-2.647240986353238,-67.97668181625293,0.070846409872936,14.115041281463855
Au,3.484728831166138,-2.592660651724098,-66.57515091686146,0.07482070318695645,13.365284706042843
Au,3.5480875371873406,-2.5392056445372213,-65.20251652741227,0.078929072635141,12.669602804312914
Au,3.611446243208543,-2.4868527629954613,-63.85818286490326,0.08317131493691726,12.023376097377653
Au,3.674804949229746,-2.4355792836721166,-62.54156643007819,0.08754701779821016,11.422433626522048
Au,3.7381636552509483,-2.385362951647977,-61.25209575416263,0.09205556179726873,10.863004694950108
Au,3.8015223612721507,-2.3361819708517206,-59.98921115082178,0.09669612295612617,10.341676268176014
Au,3.864881067293353,-2.2880149945994748,-58.75236447323221,0.10146767596703665,9.855355318523955
Au,3.928239773314556,-2.240841116329419,-57.54101887616222,0.10636899804071234,9.40123549548952
Au,3.9915984793357584,-2.1946398605274378,-56.35464858295782,0.11139867334101247,8.976767586260298
Au,4.054957185356961,-2.14939117383985,-55.19273865733269,0.1165550979689246,8.579633301553361
Au,4.118315891378163,-2.105075416369388,-54.05478477986358,0.1218364854571991,8.207721982848051
Au,4.181674597399366,-2.0616733531506197,-52.94029302909351,0.12724087273586404,7.859109879542193
Au,4.245033303420568,-2.0191661458011465,-51.84877966714866,0.1327661265280241,7.53204168978238
Au,4.3083920094417705,-1.9775353443449197,-50.779770929774905,0.13840995013484544,7.2249140977635875
Au,4.371750715462974,-1.9367628792041525,-49.73280282070364,0.14416989056840454,6.936261074052271
Au,4.435109421484176,-1.8968310533563357,-48.70742091025718,0.15004334599114205,6.664740734714327
Au,4.498468127505379,-1.8577225346529622,-47.70318013810654,0.15602757342097467,6.409123580368204
Au,4.561826833526581,-1.8194203482966185,-46.71964462009587,0.1621196966616714,6.168281958279914
Au,4.625185539547783,-1.7819078694731871,-45.75638745904983,0.16831671441886814,5.941180609736884
Au,4.688544245568986,-1.7451688161359524,-44.81299055948162,0.17461550856306396,5.726868181578734
Au,4.751902951590188,-1.7091872419384877,-43.889044446121396,0.18101285250208163,5.524469595265343
Au,4.815261657611391,-1.673947529313242,-42.98414808618612,0.1875054196267803,5.333179179516237
Au,4.878620363632593,-1.6394343826928433,-42.09790871531402,0.19408979179523822,5.15225448361027
Au,4.941979069653796,-1.6056328218711513,-41.22994166708766,0.2007624678221846,4.9810106981036935
Au,5.005337775674999,-1.5725281755012033,-40.379870206072106,0.20751987194210378,4.8188156181928985
Au,5.068696481696201,-1.5401060747272033,-39.54732536429524,0.21435836221617566,4.665085092372194
Au,5.132055187717404,-1.5083524469478227,-38.73194578109977,0.22127423885500003,4.5192789055543665
Au,5.195413893738606,-1.477253509708072,-37.9333775462968,0.2282637524309053,4.38089705154872
Au,5.2587725997598085,-1.4467957647171223,-37.15127404655366,0.2353231119555011,4.249476354830362
Au,5.322131305781011,-1.4169659919894548,-36.385295814948414,0.24244849280003306,4.124587405972373
Au,5.385490011802213,-1.387751244106817,-35.63511038362662,0.24963604443797646,4.005831779026029
Au,5.448848717823416,-1.3591388405984768,-34.90039213949577,0.2568818979911967,3.892839502588344
Au,5.512207423844619,-1.3311163624373488,-34.180822182895035,0.26418217356285506,3.7852667593488354
Au,5.5755661298658215,-1.303671646649596,-33.47608818917897,0.27153298734207093,3.6827937916074385
Au,5.638924835887024,-1.2767927810353712,-32.78588427315507,0.27893045846713815,3.5851229926466197
Au,5.702283541908226,-1.2504680989984023,-32.10991085631621,0.2863707156358341,3.49197716596015
Au,5.765642247929429,-1.2246861744821846,-31.447874536810644,0.2938499034530398,3.4030979362217493
Au,5.829000953950631,-1.199435817010574,-30.799487962092776,0.3013641885075197,3.3182442975471442
Au,5.8923596599718335,-1.1747060668306337,-30.16446970419969,0.3089097651712588,3.2371912860883585
Au,5.955718365993036,-1.1504861901556283,-29.542544137599215,0.3164828611162441,3.159728765320724
Au,6.019077072014238,-1.126765674506087,-28.93344131955636,0.32407974254499206,3.0856603135605427
Au,6.082435778035441,-1.1035342241469377,-28.336896872966545,0.331696719132449,3.01480220430125
Au,6.145794484056644,-1.0807817556187052,-27.752651871604357,0.33933014867816175,2.9469824708928285
Au,6.2091531900778465,-1.0584983933608547,-27.180452727738402,0.34697644146877915,2.882040047926365
Au,6.272511896099049,-1.036674465425367,-26.620051082063092,0.3546320643520547,2.819823982433996
Au,6.335870602120251,-1.0153004992786934,-26.071203695899996,0.36229354452452656,2.7601927086843303
Au,6.399229308141454,-0.9943672176902639,-25.533672345621625,0.36995747303599696,2.7030133809533825
Au,6.462588014162656,-0.9738655347057671,-25.00722371925208,0.37762050801478736,2.6481612591889228
Au,6.525946720183859,-0.9537865517034486,-24.491629315199425,0.3852793776185307,2.5955191429687963
Au,6.589305426205061,-0.9341215535317254,-23.98666534307617,0.39293088271596605,2.544976849587208
Au,6.652664132226263,-0.914862004726428,-23.492112626564396,0.40057189930583986,2.4964307324925255
Au,6.716022838247467,-0.8959995458060402,-23.007756508283805,0.4081993806795737,2.449783236650658
Au,6.779381544268669,-0.87752598964332,-22.533386756621024,0.41581035933486254,2.4049424877235315
Au,6.8427402502898715,-0.8594333179117303,-22.068797474479986,0.4234019486477906,2.361821912236535
Au,6.906098956311074,-0.8417136776051354,-21.613787009913565,0.4309713443114231,2.320339886165129
Au,6.969457662332276,-0.8243593776292579,-21.168157868597977,0.4385158255491379,2.280419409602231
Au,7.032816368353479,-0.8073628854634061,-20.73171662811154,0.4460327561112197,2.2419878053768922
Au,7.096175074374681,-0.7907168238910348,-20.304273853981023,0.4535195850634283,2.2049764396837284
Au,7.159533780395884,-0.7744139677977117,-19.885644017458798,0.460973847376415,2.1693204629533684
Au,7.222892486417086,-0.7584472410351039,-19.47564541499533,0.46839316432495304,2.1349585693488873
Au,7.286251192438289,-0.7428097133496208,-19.07410008937189,0.4757752437060172,2.101832773413286
Au,7.349609898459492,-0.7274945973743846,-18.680833752459435,0.48311787988476046,2.069888202520124
Au,7.412968604480694,-0.7124952456832171,-18.29567570956998,0.49041895367742566,2.0390729038946414
Au,7.476327310501897,-0.6978051479053672,-17.918458785367637,0.4976764320801738,2.0093376650773442
Au,7.539686016523099,-0.6834179278997274,-17.549019251307286,0.5048883678527315,1.9806358467970988
Au,7.603044722544301,-0.6693273409873108,-17.187196754569246,0.5120528989656502,1.9529232273071897
Au,7.666403428565504,-0.6555272712407915,-16.832834248459243,0.519168247919832,1.9261578573164517
Au,7.729762134586706,-0.6420117288299221,-16.485777924243227,0.526232720946826,1.9002999247191366
Au,7.793120840607909,-0.6287748474216897,-16.145877144387732,0.5332447070982107,1.875311628392449
