L_support_nm,x_nm,material,sigma_C_per_m2,sigma_uC_per_cm2,phi_RP_with_V,phi_RP_no_V,i1_with_A_per_m2,i2_with_A_per_m2,i1_no_A_per_m2,i2_no_A_per_m2,c_R1_over_bulk,c_O2_over_bulk
2.0,1.885,Au,-0.10142526348183634,-10.142526348183633,-0.14473361660863204,0.0,0.11793967314707467,0.0,0.2351207081574495,0.0,0.0035656297167622818,280.455369580001
2.0,1.89,Au,-0.10178277491174924,-10.178277491174924,-0.14401859374880624,0.0,0.11959319580871118,0.0,0.2351207081574495,0.0,0.003666311353358011,272.7537035511428
2.0,1.895,Au,-0.10214646355812831,-10.214646355812832,-0.1432912164560481,0.0,0.12129907736934767,0.0,0.2351207081574495,0.0,0.0037716500997320352,265.13594144670185
2.0,1.9,Au,-0.10252188244911467,-10.252188244911467,-0.14254037867407537,0.0,0.12308550617910184,0.0,0.2351207081574495,0.0,0.0038835619099854366,257.4955731821332
2.0,1.905,Au,-0.10290058464178051,-10.29005846417805,-0.1417829742887437,0.0,0.12491421543356583,0.0,0.2351207081574495,0.0,0.003999817074993061,250.0114333357944
2.0,1.91,Au,-0.10329244572474192,-10.329244572474192,-0.14099925212282088,0.0,0.12683507441106792,0.0,0.2351207081574495,0.0,0.004123776666590499,242.49615846116876
2.0,1.915,Au,-0.1036917706601651,-10.36917706601651,-0.1402006022519745,0.0,0.1288229104528487,0.0,0.2351207081574495,0.0,0.004254050239064893,235.07009644996944
2.0,1.92,Au,-0.10409931162554815,-10.409931162554816,-0.1393855203212084,0.0,0.13088377192171408,0.0,0.2351207081574495,0.0,0.004391248410994746,227.72567306741607
2.0,1.925,Au,-0.10452240705332294,-10.452240705332294,-0.13853932946565883,0.0,0.13305817696818267,0.0,0.2351207081574495,0.0,0.004538366226400186,220.3436104787859
2.0,1.93,Au,-0.10495009999913306,-10.495009999913306,-0.1376839435740386,0.0,0.1352929270145285,0.0,0.2351207081574495,0.0,0.004692092727365979,213.12451780154277
2.0,1.935,Au,-0.10539589977984204,-10.539589977984203,-0.13679234401262064,0.0,0.1376622474243093,0.0,0.2351207081574495,0.0,0.004857872495588878,205.85143000522055
2.0,1.94,Au,-0.10585220250452862,-10.585220250452862,-0.13587973856324748,0.0,0.14013036501536633,0.0,0.2351207081574495,0.0,0.005033625573849606,198.663962054536
2.0,1.945,Au,-0.10632049929681645,-10.632049929681644,-0.13494314497867183,0.0,0.14270937544056406,0.0,0.2351207081574495,0.0,0.005220611934367246,191.54842623275792
2.0,1.95,Au,-0.10681161640213542,-10.681161640213542,-0.13396091076803388,0.0,0.14546506827606087,0.0,0.2351207081574495,0.0,0.005424176729031035,184.35977475583434
2.0,1.955,Au,-0.10730995505427368,-10.730995505427368,-0.13296423346375735,0.0,0.1483156782088475,0.0,0.2351207081574495,0.0,0.005638849778212748,177.34113149525209
2.0,1.96,Au,-0.10783691162022858,-10.783691162022858,-0.13191032033184755,0.0,0.15139077789566027,0.0,0.2351207081574495,0.0,0.005875099713543975,170.20987706722352
2.0,1.965,Au,-0.10838105575837426,-10.838105575837426,-0.1308220320555562,0.0,0.15463310288367207,0.0,0.2351207081574495,0.0,0.006129447675752843,163.1468368603336
2.0,1.97,Au,-0.10894660246199188,-10.894660246199187,-0.12969093864832096,0.0,0.15807656853392635,0.0,0.2351207081574495,0.0,0.0064054758858227735,156.1164256684344
2.0,1.975,Au,-0.10955414853235024,-10.955414853235023,-0.12847584650760424,0.0,0.1618612387513792,0.0,0.2351207081574495,0.0,0.006715867520065621,148.90109088843803
2.0,1.98,Au,-0.11017684280839997,-11.017684280839998,-0.12723045795550478,0.0,0.1658343220587651,0.0,0.2351207081574495,0.0,0.007049612414344688,141.8517701718155
2.0,1.985,Au,-0.11086587689635442,-11.086587689635442,-0.12585238977959587,0.0,0.17034444575001964,0.0,0.2351207081574495,0.0,0.007438277146962355,134.43973385804537
2.0,1.99,Au,-0.11159913836799468,-11.159913836799468,-0.12438586683631535,0.0,0.1752788633544895,0.0,0.2351207081574495,0.0,0.00787545215460333,126.97683642398661
2.0,1.995,Au,-0.11242105845246224,-11.242105845246224,-0.12274202666738024,0.0,0.18098000353522878,0.0,0.2351207081574495,0.0,0.008396099673093299,119.10292146776993
2.0,2.0,Au,0.0393758507937915,3.9375850793791503,-0.12057789743102626,0.0,0.18876932913391542,0.0,0.2351207081574495,0.0,0.009134384015097126,109.4764571258686
2.0,2.01,support,0.038610923304613985,3.8610923304613984,-0.11675325998513866,0.0,0.0,0.0,0.0,0.0,0.010601441926282816,94.32679129438293
2.0,2.02,support,0.03803494043008673,3.803494043008673,-0.11387334561250238,0.0,0.0,0.0,0.0,0.0,0.01185967025459619,84.31937638506028
2.0,2.03,support,0.03753333538664852,3.753333538664852,-0.11136532039531136,0.0,0.0,0.0,0.0,0.0,0.013076471424894551,76.47322947505803
2.0,2.04,support,0.03707806708128809,3.7078067081288086,-0.10908897886850918,0.0,0.0,0.0,0.0,0.0,0.014288613314709825,69.9857976400356
2.0,2.05,support,0.036655040046424996,3.6655040046424996,-0.10697384369419374,0.0,0.0,0.0,0.0,0.0,0.015515405560001276,64.4520696628131
2.0,2.06,support,0.036257110917176254,3.6257110917176254,-0.10498419804795,0.0,0.0,0.0,0.0,0.0,0.016765395014679742,59.64667096268249
2.0,2.07,support,0.03588103580354387,3.588103580354387,-0.10310382247978808,0.0,0.0,0.0,0.0,0.0,0.018039162711066356,55.43494540278952
2.0,2.08,support,0.03552454882439753,3.5524548824397533,-0.1013213875840564,0.0,0.0,0.0,0.0,0.0,0.01933581585759353,51.717497072009074
2.0,2.09,support,0.035184807070089634,3.518480707008963,-0.09962267881251693,0.0,0.0,0.0,0.0,0.0,0.020658204692174206,48.40691700469124
2.0,2.1,support,0.034858870995503055,3.4858870995503057,-0.09799299843958402,0.0,0.0,0.0,0.0,0.0,0.022011780908179675,45.430217762543485
2.0,2.11,support,0.03454489550231754,3.454489550231754,-0.09642312097365648,0.0,0.0,0.0,0.0,0.0,0.02339948755828896,42.73597861957294
2.0,2.12,support,0.03424229116686715,3.4242291166867154,-0.09491009929640451,0.0,0.0,0.0,0.0,0.0,0.024819665037311867,40.290632387531474
2.0,2.13,support,0.033950697948126475,3.3950697948126476,-0.09345213320270114,0.0,0.0,0.0,0.0,0.0,0.026269653015607082,38.06673804963808
2.0,2.14,support,0.0336691085293567,3.36691085293567,-0.09204418610885226,0.0,0.0,0.0,0.0,0.0,0.027750243032348257,36.03572043799066
2.0,2.15,support,0.03339612989509323,3.339612989509323,-0.09067929293753492,0.0,0.0,0.0,0.0,0.0,0.029265171885788876,34.17031015237599
