L_support_nm,pzc_support_V,N_modes,gl_order,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,sigma_support_signed_mean_C_per_m2,sigma_support_signed_mean_uC_per_cm2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,overlap_reference_L_support_nm,overlap_delta_phi_RP_Au_mean_vs_15nm_mV,overlap_delta_phi_RP_Pd_mean_vs_15nm_mV,overlap_active_RP_RMS_vs_15nm_mV
3.0,0.18,960,128,3.0412178890177213,0.5570448635590741,0.46699999999999964,0.02916950729734341,0.1175603540787235,1.1667802918937366e-12,4.7024141631489405e-12,-174.27399507795656,-16.747255502059645,0.06438301088857658,6.438301088857658,2.7129385562779855e-16,6.0134223191460756e-15,7.917326493445621,False,15.0,-3.4136894314750634,-10.504336905736563,7.810069441553761
6.0,0.18,1920,128,3.0412178890177213,0.5514375284345497,0.4670000000000002,0.028231584839943757,0.11756035407872475,1.1292633935977504e-12,4.7024141631489906e-12,-171.65820855509702,-8.744724318260593,0.05377715468368651,5.377715468368651,2.8030690258178474e-16,4.308123452522561e-15,7.876371553271632,False,15.0,-0.7979029086155265,-2.5018057219375116,1.8568361427299382
15.0,0.18,3840,128,3.0412178890177213,0.5497146813204739,0.4670000000000002,0.027915180942319647,0.11756035407872475,1.116607237692786e-12,4.7024141631489906e-12,-170.8603056464815,-6.242918596323081,0.04535461847758298,4.535461847758298,1.6064095256124396e-15,4.308123452522561e-15,7.860943202207773,False,15.0,0.0,0.0,0.0
1.0,0.2,960,128,3.0412178890177213,0.5720499065207693,0.4670000000000001,0.03167327261644095,0.11756035407872445,1.2669309046576382e-12,4.7024141631489785e-12,-180.93401482113458,-37.54584868713547,0.07950635025948324,7.9506350259483245,7.495444058425231e-16,1.7950514385510672e-15,7.970531521902851,False,15.0,-9.031358392818845,-30.260579308978173,22.330115254231195
3.0,0.2,960,128,3.0412178890177213,0.55810291364725,0.46699999999999964,0.02896211123223136,0.1175603540787235,1.1584844492892546e-12,4.7024141631489405e-12,-175.11798029750085,-17.591240721603864,0.06165082103608611,6.1650821036086105,2.5502080409372398e-15,6.0134223191460756e-15,7.926381555654993,False,15.0,-3.215323869185113,-10.30597134344657,7.63385069659125
6.0,0.2,1920,128,3.0412178890177213,0.5526687924560204,0.4670000000000002,0.027995418485216497,0.11756035407872475,1.11981673940866e-12,4.7024141631489906e-12,-172.65338329026014,-9.739899053423722,0.05135813557125146,5.135813557125147,3.768953888241097e-16,4.308123452522561e-15,7.888754304417862,False,15.0,-0.7507268619444005,-2.4546296752664283,1.8150478869637927
15.0,0.2,3840,128,3.0412178890177213,0.5509989234921105,0.4670000000000002,0.02767236270382573,0.11756035407872475,1.1068945081530293e-12,4.7024141631489906e-12,-171.90265642831574,-7.2852693781572935,0.04318395364934993,4.318395364934993,3.8129538298587737e-16,4.308123452522561e-15,7.874506883110286,False,15.0,0.0,0.0,0.0
1.0,0.22,960,128,3.0412178890177213,0.572663418546859,0.4670000000000001,0.031563996197628966,0.11756035407872445,1.2625598479051588e-12,4.7024141631489785e-12,-181.4011137524765,-38.01294761847731,0.07623060375605122,7.623060375605122,6.685683314124809e-16,1.7950514385510672e-15,7.973242362380677,False,15.0,-8.45384127249909,-29.683062188658326,21.823744100822466
3.0,0.22,960,128,3.0412178890177213,0.5591582579176682,0.46699999999999964,0.02876220428014368,0.1175603540787235,1.1504881712057472e-12,4.7024141631489405e-12,-175.9637249911636,-18.436985415266637,0.058918386793899935,5.891838679389993,1.6508139691343541e-15,6.0134223191460756e-15,7.935506616829267,False,15.0,-3.0164525111861735,-10.107099985447649,7.458299265518823
6.0,0.22,1920,128,3.0412178890177213,0.5538967065301308,0.4670000000000002,0.02776801622757287,0.11756035407872475,1.1107206491029149e-12,4.7024141631489906e-12,-173.6507161406052,-10.737231903768796,0.0489387911016706,4.89387911016706,4.749774006543066e-16,4.308123452522561e-15,7.901223119910096,False,15.0,-0.7034436606277836,-2.407346473949808,1.7734359347486999
